uniprot	pfam	start	stop	type
17340172	Q04922	PF00646	15	59	Domain
17385499	Q06405	PF10791	2	93	Family
17400733	P32263	PF03807	4	117	Family
17451235	P53889	PF01557	11	250	Family
17473242	P32558	PF14826	6	168	Domain
17490530	P46681	PF02913	277	529	Domain
17491888	P32891	PF02913	327	574	Domain
17493434	P39976	PF02913	243	495	Domain
17495347	P16603	PF00667	261	481	Domain
17500957	P39692	PF00667	643	856	Domain
17501054	Q12181	PF00667	224	450	Domain
17503671	Q00711	PF00890	54	450	Family
17514002	P47052	PF00890	48	444	Family
17514464	P21375	PF00890	36	483	Family
17529711	P32614	PF00890	5	451	Family
17554340	P53318	PF01494	27	410	Family
17570129	P38169	PF01494	2	368	Family
17604228	P32891	PF01565	151	291	Domain
17613605	P46681	PF01565	102	240	Domain
17622232	P39976	PF01565	68	205	Domain
17641400	P54783	PF01565	23	162	Domain
17655462	P39676	PF00970	151	263	Domain
17656699	Q04516	PF00970	74	172	Domain
17658758	Q12746	PF00970	74	172	Domain
17667269	P36060	PF00970	55	154	Domain
17675009	P38909	PF00970	98	183	Domain
17676909	P38626	PF00970	42	141	Domain
17682001	P05066	PF03441	381	563	Domain
17686837	P53109	PF08022	253	365	Domain
17687454	Q08905	PF08022	430	532	Domain
17687903	P32791	PF08022	409	520	Domain
17690058	P36033	PF08022	430	532	Domain
17690120	Q12473	PF08022	438	544	Domain
17694303	Q08908	PF08022	424	526	Domain
17694323	P53746	PF08022	423	525	Domain
17694482	Q12333	PF08022	323	417	Domain
17703087	P41921	PF12831	25	189	Family
17706911	Q02733	PF12831	19	169	Family
17759363	P38842	PF04750	8	225	Family
17768723	Q07895	PF02469	45	164	Domain
17775026	Q07895	PF02469	474	603	Domain
17789245	P19097	PF18325	141	302	Domain
17790104	P19097	PF18314	332	534	Domain
17791289	P07149	PF17951	1129	1273	Domain
17791896	P07149	PF17828	5	133	Domain
17793342	P38811	PF02259	2756	3106	Family
17793633	P32600	PF02259	1468	1848	Family
17793676	P38111	PF02259	1549	1853	Family
17794848	P35169	PF02259	1461	1845	Family
17798349	P38111	PF02260	2337	2368	Family
17798788	P35169	PF02260	2439	2470	Family
17799290	P32600	PF02260	2443	2474	Family
17799640	P38110	PF02260	2756	2787	Family
17820457	P21147	PF00487	136	365	Domain
17826449	Q03529	PF04116	229	370	Family
17833061	P53045	PF04116	145	282	Family
17836462	P38992	PF04116	161	297	Family
17839618	P32353	PF04116	185	312	Family
17862162	Q12532	PF05833	6	572	Family
17865951	P09201	PF00316	21	208	Domain
17923150	Q12339	PF04900	51	150	Family
17924191	Q05498	PF04900	88	184	Family
17924525	Q12035	PF08698	94	190	Family
17927456	P38822	PF00611	14	105	Family
17931286	Q05080	PF00611	16	92	Family
17931749	P43556	PF00611	16	95	Family
17934596	P39998	PF09532	99	202	Domain
17944910	P08425	PF03147	372	469	Domain
17966311	P10127	PF00465	10	372	Family
17976177	Q12425	PF01521	57	179	Family
17982151	Q07821	PF01521	145	246	Family
18095346	Q12184	PF00111	66	149	Domain
18120574	P21801	PF13085	35	142	Domain
18169932	Q03195	PF00037	48	71	Domain
18243665	P21801	PF13534	178	251	Domain
18257263	Q12680	PF14691	1660	1771	Domain
18371813	P32791	PF01794	259	375	Family
18373131	P36033	PF01794	280	397	Family
18375513	Q12473	PF01794	287	404	Family
18379646	Q12333	PF01794	161	282	Family
18379733	P53746	PF01794	273	390	Family
18380676	P53109	PF01794	101	220	Family
18380860	Q08905	PF01794	280	397	Family
18382043	Q12209	PF01794	119	233	Family
18382789	Q08908	PF01794	274	391	Family
18409360	P16622	PF00762	38	357	Domain
18415921	P38260	PF08609	1	82	Family
18425544	P38829	PF01883	106	189	Domain
18449583	P23503	PF02906	95	420	Domain
18454268	P33203	PF01846	134	185	Family
18455713	Q06525	PF01846	214	263	Family
18456170	P33203	PF01846	494	549	Family
18457907	P33203	PF01846	203	254	Family
18461336	P33203	PF01846	357	410	Family
18476881	P38972	PF18072	207	257	Domain
18485747	P38972	PF18076	40	181	Domain
18509384	Q04585	PF02782	339	551	Domain
18521629	P32190	PF02782	402	626	Domain
18523831	P53583	PF02782	260	473	Domain
18525527	P42826	PF02782	314	547	Domain
18541254	P42826	PF00370	146	305	Domain
18546755	P32190	PF00370	138	393	Domain
18550084	Q04585	PF00370	39	309	Domain
18556292	P53583	PF00370	7	183	Domain
18558378	P42826	PF00370	22	127	Domain
18560814	P41832	PF02181	1348	1741	Family
18561812	P40450	PF02181	868	1265	Family
18570072	P53924	PF00498	295	379	Family
18570312	P40466	PF00498	76	162	Family
18572891	P22216	PF00498	601	681	Family
18575836	P24719	PF00498	47	119	Family
18578108	P41813	PF00498	83	172	Family
18578744	P33301	PF00498	28	99	Family
18580583	Q04383	PF00498	102	159	Family
18580780	Q07930	PF00498	104	189	Family
18580929	Q03944	PF00498	185	273	Family
18580975	P53156	PF00498	22	109	Family
18586292	P39521	PF00498	300	374	Family
18587015	Q06266	PF00498	118	181	Family
18588504	Q06001	PF00498	117	192	Family
18592387	P22216	PF00498	66	133	Family
18592587	P38823	PF00498	189	273	Family
18595477	P39009	PF00498	56	128	Family
18607824	P15646	PF01269	88	322	Domain
18636469	P38224	PF12351	65	265	Family
18682880	Q03898	PF17300	15	283	Family
18683509	P45976	PF05182	179	221	Motif
18685193	P40515	PF14853	77	129	Domain
18686387	P40515	PF14852	40	72	Domain
18693943	Q04433	PF17357	168	259	Family
18693952	Q08906	PF17357	25	112	Family
18720626	P38911	PF00254	318	407	Domain
18732023	P32472	PF00254	36	129	Domain
18735607	Q06205	PF00254	300	389	Domain
18736529	P20081	PF00254	19	111	Domain
18749747	P38631	PF14288	300	409	Family
18750823	Q04952	PF14288	181	291	Family
18751634	P40989	PF14288	319	428	Family
18800815	P47169	PF00258	684	826	Domain
18800839	Q08960	PF00258	207	355	Domain
18808266	P16603	PF00258	63	199	Domain
18813086	Q12181	PF00258	9	150	Domain
18832608	Q03778	PF01687	53	206	Domain
18843777	P36076	PF02441	309	500	Family
18848183	Q08438	PF02441	292	569	Family
18848989	P33751	PF02441	55	225	Family
18853492	P36024	PF02441	264	488	Family
18960178	Q03079	PF10306	69	154	Family
18984689	Q12140	PF10182	1	141	Domain
18984750	P08640	PF10182	43	193	Domain
18984867	P32768	PF00624	321	360	Repeat
18984894	P38894	PF00624	501	540	Repeat
18984934	P39712	PF00624	726	765	Repeat
18984987	P32768	PF00624	906	945	Repeat
18985039	P32768	PF00624	456	495	Repeat
18985059	P39712	PF00624	681	720	Repeat
18985077	P32768	PF00624	726	765	Repeat
18985099	P39712	PF00624	411	450	Repeat
18985119	P32768	PF00624	861	900	Repeat
18985139	P32768	PF00624	542	585	Repeat
18985173	P32768	PF00624	951	990	Repeat
18985207	P38894	PF00624	276	315	Repeat
18985303	P38894	PF00624	546	585	Repeat
18985331	P39712	PF00624	771	810	Repeat
18985378	P39712	PF00624	636	675	Repeat
18985412	P38894	PF00624	366	405	Repeat
18985455	P38894	PF00624	411	450	Repeat
18985522	P32768	PF00624	366	405	Repeat
18985645	P32768	PF00624	411	450	Repeat
18985672	P38894	PF00624	321	360	Repeat
18985681	P32768	PF00624	501	540	Repeat
18985707	P39712	PF00624	366	405	Repeat
18985738	P39712	PF00624	276	315	Repeat
18985773	P39712	PF00624	546	585	Repeat
18985937	P32768	PF00624	1041	1080	Repeat
18985952	P38894	PF00624	591	630	Repeat
18985959	P39712	PF00624	456	495	Repeat
18985966	P32768	PF00624	276	315	Repeat
18986018	P32768	PF00624	771	810	Repeat
18986034	P38894	PF00624	456	495	Repeat
18986040	P32768	PF00624	996	1035	Repeat
18986171	P32768	PF00624	816	855	Repeat
18986197	P39712	PF00624	501	540	Repeat
18986237	P32768	PF00624	681	720	Repeat
18986274	P0CI67	PF00624	137	176	Repeat
18986348	P39712	PF00624	321	360	Repeat
18986394	P32768	PF00624	591	630	Repeat
18986415	P39712	PF00624	591	630	Repeat
18986433	P39712	PF00624	816	855	Repeat
18986548	P32768	PF00624	636	675	Repeat
18986578	P36170	PF13928	996	1038	Repeat
18986616	P39712	PF13928	1020	1063	Repeat
18986620	P39712	PF13928	1143	1186	Repeat
18986778	P25653	PF13928	724	771	Repeat
18986804	P25653	PF13928	529	573	Repeat
18986909	P36170	PF13928	937	980	Repeat
18986915	P25653	PF13928	420	464	Repeat
18986935	P25653	PF13928	1050	1118	Repeat
18986966	P38894	PF13928	782	825	Repeat
18986974	P38894	PF13928	905	948	Repeat
18987147	P38894	PF13928	854	897	Repeat
18987266	P39712	PF13928	1092	1135	Repeat
18987322	Q12127	PF13928	32	75	Repeat
18987355	P25653	PF13928	1137	1176	Repeat
18991439	P03870	PF05202	137	379	Family
18993876	P03870	PF03930	44	128	Domain
19016888	P36087	PF04299	1	169	Family
19030539	P00175	PF01070	212	560	Domain
19032997	Q07923	PF03358	1	159	Domain
19034139	Q12335	PF03358	8	148	Domain
19058571	P38866	PF00743	6	227	Family
19076776	P38231	PF17315	28	175	Family
19076860	Q06179	PF10344	17	923	Family
19077715	Q06179	PF10347	1298	1456	Domain
19078082	Q06116	PF10347	1085	1234	Domain
19078643	Q06179	PF10305	1178	1280	Domain
19078756	Q06116	PF10305	974	1067	Domain
19079305	Q06179	PF10359	1717	2173	Domain
19079648	Q06116	PF10359	1449	1946	Domain
19239526	Q12114	PF16893	77	165	Domain
19265742	P53848	PF02152	149	256	Domain
19269345	P53848	PF02152	24	135	Domain
19272175	P53237	PF11704	68	235	Family
19274622	P36036	PF13865	138	203	Family
19277184	P41813	PF00250	339	425	Domain
19278795	P39521	PF00250	460	543	Domain
19280602	P40466	PF00250	302	388	Domain
19285994	P25364	PF00250	108	192	Domain
19313167	P32785	PF00551	30	232	Domain
19316003	P04161	PF00551	2	205	Domain
19325593	P38750	PF01226	12	259	Family
19340370	P25618	PF10277	5	207	Family
19340742	P35735	PF10277	10	287	Family
19343842	Q07540	PF01491	68	174	Domain
19345244	P35169	PF08771	1952	2050	Domain
19345733	P32600	PF08771	1955	2053	Domain
19364622	Q05015	PF03959	1	215	Domain
19364748	Q99369	PF03959	1	221	Domain
19365673	P38777	PF03959	1	230	Domain
19376416	P07245	PF01268	321	946	Family
19377046	P09440	PF01268	345	975	Family
19384326	P40088	PF03239	7	321	Family
19386454	P38310	PF03239	8	404	Family
19398506	P40341	PF06480	179	282	Family
19403903	P39925	PF06480	119	215	Family
19408264	P38238	PF01728	21	207	Family
19409995	P53123	PF01728	49	307	Family
19416345	P25582	PF01728	25	202	Family
19562956	P08417	PF10415	433	486	Domain
19571286	Q04430	PF03630	20	355	Family
19581983	P18411	PF04930	106	195	Family
19582776	Q12263	PF16797	1026	1141	Domain
19582909	P25389	PF16797	919	1036	Domain
19583621	Q08581	PF12709	742	818	Family
19588505	P39961	PF04082	231	545	Domain
19589002	P40467	PF04082	250	505	Domain
19593127	P38114	PF04082	360	650	Domain
19598427	P38699	PF04082	302	581	Domain
19599226	P25502	PF04082	347	622	Domain
19603101	P50104	PF04082	401	661	Domain
19606248	P12383	PF04082	308	653	Domain
19608051	P47988	PF04082	329	579	Domain
19608522	P39113	PF04082	403	693	Domain
19610066	Q12139	PF04082	506	824	Domain
19610874	Q08904	PF04082	166	454	Domain
19611721	P35995	PF04082	199	480	Domain
19612836	P34228	PF04082	342	632	Domain
19613060	Q05854	PF04082	311	579	Domain
19613182	P46974	PF04082	795	916	Domain
19613738	P53749	PF04082	190	443	Domain
19613919	P43634	PF04082	214	475	Domain
19616708	Q06149	PF04082	188	497	Domain
19617210	Q12180	PF04082	364	653	Domain
19621395	P07272	PF04082	287	606	Domain
19621844	P38157	PF04082	87	317	Domain
19625760	P33200	PF04082	278	627	Domain
19632901	P04386	PF04082	244	537	Domain
19633418	P53338	PF04082	92	260	Domain
19634205	P39529	PF04082	190	447	Domain
19637105	P21657	PF04082	320	596	Domain
19645004	Q12151	PF11951	611	762	Family
19648061	P40971	PF11951	358	782	Family
19651825	P26370	PF11951	120	528	Family
19655738	Q05958	PF11951	507	677	Family
19656376	P05085	PF11951	395	878	Family
19658085	P00856	PF05933	1	48	Family
19687050	P53120	PF13515	627	780	Family
19687430	Q07660	PF13515	714	857	Family
19718553	P34756	PF01363	235	300	Domain
19724178	P53191	PF01363	447	528	Domain
19725325	P40343	PF01363	168	231	Domain
19726511	P32609	PF01363	210	297	Domain
19728497	Q06651	PF01363	12	89	Domain
19737253	P13517	PF01115	6	257	Family
19740800	P14540	PF01116	17	358	Domain
19751366	P08539	PF00503	21	461	Domain
19754633	P10823	PF00503	100	437	Domain
19758869	P18852	PF00631	28	110	Domain
19764289	P53866	PF01585	720	765	Family
19766299	P53335	PF01585	25	70	Family
19766646	Q06152	PF01585	41	85	Family
19768376	Q06411	PF01585	61	106	Family
19772285	Q02521	PF12656	89	154	Domain
19773236	P25337	PF01125	1	155	Domain
19792766	P11412	PF02781	198	494	Domain
19799006	P11412	PF00479	15	196	Domain
19806120	P39012	PF04114	116	596	Family
19866790	P36088	PF13185	47	174	Domain
19886200	P40087	PF13975	206	296	Domain
19890487	P25384	PF13976	564	641	Domain
19891803	P0C2J3	PF13976	564	641	Domain
19892081	P0CX63	PF13976	564	641	Domain
19892116	Q12501	PF13976	564	641	Domain
19892126	Q07791	PF13976	564	641	Domain
19892143	Q12472	PF13976	564	641	Domain
19893360	P0CX64	PF13976	564	641	Domain
19893520	Q12113	PF13976	564	641	Domain
19893710	Q12491	PF13976	564	641	Domain
19893734	Q03494	PF13976	564	641	Domain
19903079	P19659	PF18535	156	238	Domain
19903182	P04386	PF03902	50	106	Family
19912118	P04385	PF10509	34	83	Domain
19912641	P13045	PF10509	28	76	Domain
19916587	P08431	PF01087	3	192	Domain
19922901	P08431	PF02744	198	366	Domain
19934113	P38138	PF13802	268	337	Domain
19940170	P53919	PF04410	118	271	Domain
19940409	P28007	PF04410	19	145	Domain
19946984	P07244	PF01071	108	308	Domain
19952579	P07244	PF02843	346	438	Domain
19959301	P07244	PF02844	2	107	Domain
19974224	P38817	PF03127	248	322	Domain
19975493	Q06336	PF03127	244	317	Domain
19977662	Q02710	PF00320	132	167	Domain
19978147	P40569	PF00320	53	89	Domain
19978428	P40209	PF00320	472	507	Domain
19979249	P18494	PF00320	306	340	Domain
19980036	Q07928	PF00320	72	107	Domain
19980766	P09007	PF00320	168	203	Domain
19980776	P42944	PF00320	131	165	Domain
19981737	P43574	PF00320	310	344	Domain
19984530	P34233	PF00320	499	536	Domain
19989025	P26343	PF00320	31	65	Domain
20003282	P33734	PF00117	5	212	Domain
20015887	P38627	PF00117	314	557	Domain
20018286	P07259	PF00117	230	406	Domain
20021604	P00937	PF00117	15	200	Domain
20021805	P38625	PF00117	15	196	Domain
20022297	P28274	PF00117	314	555	Domain
20023449	P07258	PF00117	187	369	Domain
20029838	Q12288	PF00117	33	216	Domain
20033655	P37254	PF00117	18	226	Domain
20044493	Q12680	PF00310	54	478	Domain
20062707	P53871	PF13230	15	193	Domain
20069843	P38972	PF13507	1090	1357	Domain
20071859	A2P2R3	PF13522	58	215	Domain
20081970	P04046	PF13522	52	213	Domain
20084468	P14742	PF13522	63	211	Domain
20094874	P49090	PF13537	47	167	Domain
20098842	Q04489	PF13537	68	178	Domain
20099304	P49089	PF13537	47	167	Domain
20110472	P33893	PF02934	29	317	Domain
20112393	P33893	PF02637	373	537	Domain
20144235	P41814	PF04189	6	329	Family
20146111	P46959	PF08704	71	363	Family
20154392	Q05881	PF13324	52	328	Family
20155623	P33892	PF12074	533	670	Family
20155673	P33892	PF12074	391	504	Family
20164758	P53540	PF04130	471	843	Domain
20167022	P38863	PF04130	415	803	Domain
20171306	P53540	PF17681	185	467	Domain
20171655	P38863	PF17681	60	411	Domain
20174419	Q04461	PF12550	296	385	Family
20174528	P07261	PF12550	638	730	Family
20174529	Q03213	PF12550	617	694	Family
20174614	P32504	PF12550	843	922	Family
20175052	P22148	PF12550	278	356	Family
20176451	P32477	PF03074	253	645	Family
20191215	P39726	PF01597	45	169	Domain
20196907	P48015	PF01571	21	280	Domain
20210949	P48015	PF08669	312	393	Domain
20227445	P32621	PF01150	84	518	Family
20227450	P40009	PF01150	1	481	Family
20239264	P49095	PF02347	69	511	Domain
20240689	P49095	PF02347	522	810	Domain
20244701	Q06625	PF06202	1045	1523	Domain
20250177	P39958	PF00996	1	447	Family
20251211	P32864	PF00996	43	447	Family
20256392	Q08959	PF03009	7	246	Family
20266318	Q02979	PF03009	877	1212	Family
20301746	P04397	PF16363	15	344	Domain
20311901	P54861	PF02212	665	756	Family
20312836	P21576	PF02212	613	704	Family
20319872	P53953	PF00626	730	806	Domain
20325330	P38810	PF00626	767	844	Domain
20326723	P40482	PF00626	780	856	Domain
20330667	P15303	PF00626	635	724	Domain
20334790	Q12393	PF17053	9	250	Family
20430054	P40056	PF08690	3	283	Family
20430172	Q12285	PF16843	8	60	Domain
20430205	Q12285	PF18514	174	212	Domain
20442542	Q04839	PF17331	129	150	Family
20475397	Q04869	PF01408	4	127	Family
20489437	P04387	PF01408	18	150	Family
20513844	Q04869	PF02894	139	251	Domain
20524565	Q06336	PF18308	190	228	Domain
20653384	P07277	PF08544	299	379	Family
20654312	P04385	PF08544	417	499	Family
20654521	P13045	PF08544	410	491	Family
20662313	P24521	PF08544	342	426	Family
20666234	P04385	PF00288	155	225	Family
20670115	P24521	PF00288	143	216	Family
20680347	P07277	PF00288	133	210	Family
20683199	P32377	PF00288	105	163	Family
20684817	P13045	PF00288	149	217	Family
20687908	P17423	PF00288	96	157	Family
20696371	P53070	PF01134	38	439	Family
20705388	P53070	PF13932	442	658	Domain
20720486	P23201	PF12205	1325	1448	Domain
20722168	Q12361	PF11710	52	279	Domain
20723079	P23201	PF08518	94	122	Family
20723505	Q06160	PF08518	89	117	Family
20724572	P23201	PF08518	44	72	Family
20732963	P38324	PF01541	13	94	Domain
20755020	Q12315	PF07817	258	500	Family
20768012	P32288	PF00120	109	282	Domain
20791576	P32288	PF03951	24	101	Domain
20812425	P39676	PF00042	6	103	Domain
20813762	P53857	PF00042	176	263	Domain
20832741	P40989	PF02364	827	1650	Family
20833670	P38631	PF02364	808	1631	Family
20833799	Q04952	PF02364	694	1542	Family
20844107	P38858	PF01182	8	234	Domain
20847416	P50278	PF01182	77	294	Domain
20848536	P53315	PF01182	8	241	Domain
20849615	P37262	PF01182	77	290	Domain
20860014	P46655	PF18466	23	64	Domain
20865526	Q02784	PF00462	47	114	Domain
20865589	P17695	PF00462	53	119	Domain
20867065	P25373	PF00462	19	85	Domain
20871760	Q03835	PF00462	163	227	Domain
20877652	Q12438	PF00462	128	193	Domain
20879978	P38068	PF00462	100	165	Domain
20885284	Q05926	PF00462	13	83	Domain
20887290	P32642	PF00462	158	222	Domain
20905233	Q12680	PF01645	869	1239	Domain
20920726	Q12680	PF04898	514	807	Domain
20928513	P27472	PF05693	12	684	Family
20929002	P23337	PF05693	12	683	Family
20936711	Q12215	PF01102	323	431	Family
20986007	P53954	PF00534	292	484	Family
20994634	P16661	PF00534	252	429	Family
20997661	P32363	PF00534	194	348	Family
21007999	P43636	PF00534	203	412	Family
21132161	P40350	PF00535	76	263	Family
21133279	P14020	PF00535	6	172	Family
21146570	P07285	PF00591	101	367	Family
21148617	P07286	PF00953	129	305	Family
21173227	P07285	PF02885	7	83	Domain
21183979	P22855	PF17677	985	1080	Domain
21187137	Q12168	PF17652	419	772	Domain
21187618	P53753	PF17652	752	1106	Domain
21243948	P08019	PF00723	90	539	Domain
21246989	Q05790	PF00722	147	325	Domain
21255952	P32623	PF00722	96	273	Domain
21258855	P53301	PF00722	65	235	Domain
21262514	P53334	PF00332	249	386	Domain
21263759	Q04951	PF00332	138	389	Domain
21264345	P15703	PF00332	27	310	Domain
21276421	Q06350	PF00704	74	452	Domain
21286885	P29029	PF00704	28	393	Domain
21335603	P47180	PF00295	43	361	Domain
21398167	P38138	PF01055	362	809	Family
21413909	P00724	PF08244	363	530	Domain
21416067	P00724	PF00251	32	343	Domain
21437563	P22855	PF07748	709	928	Domain
21445725	P22855	PF01074	290	559	Domain
21505364	Q12205	PF01532	174	848	Domain
21506445	P38888	PF01532	42	502	Domain
21507182	P32906	PF01532	45	532	Domain
21518677	P40566	PF18564	654	738	Domain
21529304	P53008	PF03200	318	832	Domain
21529663	P53008	PF16923	44	275	Domain
21537047	P48016	PF03632	474	703	Domain
21541850	P48016	PF03636	135	414	Family
21549442	Q08193	PF03198	19	331	Domain
21550090	P22146	PF03198	17	330	Domain
21550242	Q08271	PF03198	15	335	Domain
21550566	Q06135	PF03198	25	344	Domain
21550791	Q03655	PF03198	14	352	Domain
21553527	P36091	PF03663	31	396	Family
21554563	Q05031	PF03663	36	403	Family
21565386	Q12168	PF03639	96	412	Domain
21566105	P53753	PF03639	420	744	Domain
21625051	P33550	PF01793	47	374	Family
21625564	P53966	PF01793	53	280	Family
21625731	P40504	PF01793	304	428	Family
21625742	P40504	PF01793	50	298	Family
21625745	P38130	PF01793	48	356	Family
21626094	P27809	PF01793	69	390	Family
21626315	P54070	PF01793	65	395	Family
21626508	P26725	PF01793	38	374	Family
21626628	P38131	PF01793	84	413	Family
21626801	P27810	PF01793	41	341	Family
21626802	P53966	PF01793	274	424	Family
21633133	P38426	PF00982	286	765	Family
21634208	P31688	PF00982	61	541	Family
21635692	Q00764	PF00982	16	482	Family
21636094	P38427	PF00982	317	799	Family
21639800	Q04174	PF03901	6	401	Family
21640135	P30777	PF03901	16	484	Family
21643130	P53730	PF03901	8	422	Family
21643303	P53868	PF03901	10	414	Family
21644622	P22023	PF18404	1095	1335	Domain
21658575	Q06321	PF03033	742	879	Family
21664483	P50108	PF05637	118	369	Family
21664761	P46985	PF05637	156	409	Family
21690657	P43636	PF13439	18	198	Domain
21754738	P47011	PF01501	7	261	Family
21756040	P36143	PF01501	7	259	Family
21826967	P53178	PF04101	8	200	Domain
21847911	P50107	PF00903	22	164	Domain
21863482	P50107	PF00903	182	319	Domain
21959481	P33300	PF04488	69	157	Family
21959918	P38287	PF04488	76	164	Family
21960150	P47124	PF04488	144	235	Family
21961290	P31755	PF04488	114	206	Family
22028819	P38625	PF00958	433	524	Domain
22033444	P40010	PF08701	14	89	Family
22037094	P53914	PF13718	536	767	Family
22150193	P46984	PF08738	4	110	Family
22151975	Q03554	PF04178	10	113	Family
22152357	P38166	PF04178	91	203	Family
22168005	P38799	PF12537	183	262	Family
22170520	P39005	PF10342	26	135	Family
22170527	P50112	PF10342	25	129	Family
22172606	P53306	PF05024	279	469	Family
22174325	P38875	PF04113	19	600	Family
22174788	P46961	PF06432	6	273	Family
22177022	Q06385	PF05719	69	329	Family
22178796	P32907	PF01184	70	276	Family
22179750	Q12359	PF01184	69	273	Family
22180406	P25613	PF01184	71	277	Family
22182249	Q12361	PF11970	610	685	Domain
22193262	P00359	PF02800	155	312	Domain
22197359	P00358	PF02800	155	312	Domain
22207675	P00360	PF02800	155	312	Domain
22220972	P00360	PF00044	2	103	Domain
22222489	P00359	PF00044	2	103	Domain
22223484	P00358	PF00044	2	103	Domain
22224878	Q12234	PF10375	401	419	Domain
22227875	Q06681	PF02893	647	758	Domain
22228968	P38800	PF02893	548	659	Domain
22229297	P43560	PF02893	198	307	Domain
22230702	Q08001	PF02893	164	270	Domain
22231108	Q06321	PF02893	570	681	Domain
22232666	P53258	PF02893	29	160	Domain
22247250	Q04410	PF04495	126	282	Domain
22278530	Q06704	PF01465	865	906	Family
22292722	P38523	PF01025	49	224	Family
22308006	Q04697	PF11055	1	384	Family
22319149	P36014	PF00255	4	111	Family
22323545	P38143	PF00255	5	112	Family
22324187	P40581	PF00255	4	111	Family
22325508	Q08220	PF03199	218	321	Domain
22327537	Q08220	PF03917	8	490	Domain
22335818	P36008	PF00043	93	196	Domain
22340227	P23202	PF00043	223	345	Domain
22340427	P40582	PF00043	114	218	Domain
22342281	P29547	PF00043	96	199	Domain
22345724	P42936	PF00043	112	204	Domain
22351773	Q12390	PF00043	121	220	Domain
22368075	Q04806	PF13410	228	321	Domain
22369880	P48239	PF13410	220	308	Domain
22372047	P36156	PF13410	230	325	Domain
22391869	P29547	PF02798	2	72	Domain
22396158	P42936	PF02798	6	77	Domain
22399686	P23202	PF02798	112	190	Domain
22410445	P40582	PF02798	3	84	Domain
22411161	P36008	PF02798	2	71	Domain
22417055	P36156	PF13409	45	184	Domain
22418069	P48239	PF13409	30	166	Domain
22418437	Q04806	PF13409	45	180	Domain
22428453	Q12390	PF13417	21	101	Domain
22456603	P38867	PF09729	7	104	Family
22458004	P40002	PF09729	6	193	Family
22474070	P38860	PF01018	92	211	Domain
22474327	P38860	PF01018	276	338	Domain
22489918	P38066	PF00925	35	276	Family
22496792	P51601	PF01227	61	239	Domain
22508910	P25038	PF00009	143	320	Domain
22510000	P46943	PF00009	44	226	Domain
22518672	P02994	PF00009	5	236	Domain
22521695	P32324	PF00009	17	344	Domain
22522705	P32481	PF00009	98	304	Domain
22524369	P25039	PF00009	68	347	Domain
22524820	Q08491	PF00009	266	610	Domain
22532079	P02992	PF00009	46	240	Domain
22549150	P05453	PF00009	258	488	Domain
22549895	P36048	PF00009	131	442	Domain
22556815	P39677	PF00009	39	325	Domain
22565341	P53893	PF00009	17	367	Domain
22574556	P39730	PF00009	404	618	Domain
22575318	P32769	PF00009	165	412	Domain
22585425	P39677	PF03144	372	442	Domain
22590346	P39730	PF03144	644	722	Domain
22593139	P53893	PF03144	582	659	Domain
22596582	P02992	PF03144	263	333	Domain
22603271	P36048	PF03144	481	578	Domain
22607679	P32324	PF03144	393	470	Domain
22615718	P32481	PF03144	335	418	Domain
22619057	P25039	PF03144	388	454	Domain
22623122	P05453	PF03144	502	570	Domain
22623704	P02994	PF03144	258	325	Domain
22625831	P46943	PF03144	249	319	Domain
22634333	P02994	PF03143	331	440	Domain
22637558	P02992	PF03143	337	436	Domain
22646069	P05453	PF03143	575	684	Domain
22646087	P32769	PF03143	495	610	Domain
22650683	P53290	PF04670	11	235	Domain
22650964	Q00582	PF04670	8	250	Domain
22682933	P08678	PF00211	1660	1847	Domain
22695834	P15454	PF00625	1	186	Domain
22722576	P47026	PF06423	297	450	Family
22730488	Q12680	PF01493	1318	1510	Family
22733763	P38852	PF02213	285	334	Domain
22734640	P32909	PF02213	208	257	Domain
22735478	Q02875	PF02213	152	204	Domain
22751937	Q05902	PF01019	123	654	Domain
22786036	P15938	PF04408	757	845	Domain
22789623	Q06698	PF04408	1043	1161	Domain
22789740	P36009	PF04408	477	596	Domain
22793007	P20095	PF04408	619	741	Domain
22801134	P24384	PF04408	875	963	Domain
22801208	P53131	PF04408	494	582	Domain
22802207	Q04217	PF04408	879	1006	Domain
22813168	P53981	PF12710	6	188	Family
22824572	Q86ZR7	PF13419	10	200	Family
22843983	P38774	PF13419	9	201	Family
22844567	P40106	PF13419	15	197	Family
22853128	P40025	PF13419	55	248	Family
22857855	P38773	PF13419	9	201	Family
22868938	Q12486	PF13419	16	180	Family
22878131	Q03508	PF10307	59	254	Domain
22885687	P38276	PF03928	34	164	Family
22893629	Q12320	PF16123	199	284	Family
22894723	Q05584	PF16123	189	274	Family
22911067	P47119	PF01725	6	191	Domain
23011180	Q08773	PF09110	754	887	Domain
23011325	P38144	PF09110	776	883	Domain
23013771	Q08182	PF10297	50	66	Motif
23014089	P14064	PF10297	65	80	Motif
23017650	P32789	PF12330	281	668	Family
23017897	P43633	PF12330	351	756	Family
23019066	Q12309	PF02184	180	211	Repeat
23020489	Q12341	PF10394	11	162	Domain
23072593	P39928	PF02518	831	928	Domain
23124559	P02829	PF02518	26	181	Domain
23127416	P40530	PF02518	257	386	Domain
23165421	P06786	PF02518	55	205	Domain
23229343	P15108	PF02518	26	181	Domain
23238690	P14242	PF02518	19	153	Domain
