	uniprot	pfam	start	stop	type	Name	ID
10706629	P04037	PF01215	27	155	Domain	Cytochrome c oxidase subunit Vb	COX5B
10707627	P32799	PF02046	3	125	Family	Cytochrome c oxidase subunit VIa	COX6A
10708308	Q3E846	PF02297	13	91	Domain	Cytochrome oxidase c subunit VIb	COX6B
10708928	Q01519	PF02297	16	77	Domain	Cytochrome oxidase c subunit VIb	COX6B
10711137	P10174	PF02238	3	54	Family	Cytochrome c oxidase subunit VII	COX7a
10712319	P04039	PF02935	4	74	Family	Cytochrome c oxidase subunit VIIc	COX7C
10736571	Q03530	PF02517	138	254	Family	CPBP intramembrane metalloprotease	CPBP
10752310	P53314	PF07823	1	239	Domain	Cyclic phosphodiesterase-like protein	CPDase
10754048	Q04373	PF08144	425	570	Domain	CPL (NUC119) domain	CPL
10764203	P38910	PF00166	10	103	Domain	Chaperonin 10 Kd subunit	Cpn10
10770847	P34756	PF00118	816	1037	Family	TCP-1/cpn60 chaperonin family	Cpn60_TCP1
10775373	P39077	PF00118	31	531	Family	TCP-1/cpn60 chaperonin family	Cpn60_TCP1
10778983	P12612	PF00118	36	549	Family	TCP-1/cpn60 chaperonin family	Cpn60_TCP1
10779610	P39076	PF00118	29	519	Family	TCP-1/cpn60 chaperonin family	Cpn60_TCP1
10779720	P42943	PF00118	36	528	Family	TCP-1/cpn60 chaperonin family	Cpn60_TCP1
10783993	P39078	PF00118	31	528	Family	TCP-1/cpn60 chaperonin family	Cpn60_TCP1
10788394	P40413	PF00118	57	559	Family	TCP-1/cpn60 chaperonin family	Cpn60_TCP1
10791674	P47079	PF00118	38	549	Family	TCP-1/cpn60 chaperonin family	Cpn60_TCP1
10793683	P39079	PF00118	29	538	Family	TCP-1/cpn60 chaperonin family	Cpn60_TCP1
10793830	P19882	PF00118	44	550	Family	TCP-1/cpn60 chaperonin family	Cpn60_TCP1
10799017	P07259	PF02786	1094	1296	Domain	Carbamoyl-phosphate synthase L chain, ATP binding domain	CPSase_L_D2
10800449	P32874	PF02786	289	491	Domain	Carbamoyl-phosphate synthase L chain, ATP binding domain	CPSase_L_D2
10801107	Q00955	PF02786	220	415	Domain	Carbamoyl-phosphate synthase L chain, ATP binding domain	CPSase_L_D2
10807556	P11154	PF02786	135	344	Domain	Carbamoyl-phosphate synthase L chain, ATP binding domain	CPSase_L_D2
10816820	P32327	PF02786	136	345	Domain	Carbamoyl-phosphate synthase L chain, ATP binding domain	CPSase_L_D2
10823042	P03965	PF02786	149	353	Domain	Carbamoyl-phosphate synthase L chain, ATP binding domain	CPSase_L_D2
10828092	P07259	PF02786	557	761	Domain	Carbamoyl-phosphate synthase L chain, ATP binding domain	CPSase_L_D2
10830237	P32528	PF02786	747	952	Domain	Carbamoyl-phosphate synthase L chain, ATP binding domain	CPSase_L_D2
10831573	P03965	PF02786	693	895	Domain	Carbamoyl-phosphate synthase L chain, ATP binding domain	CPSase_L_D2
10840485	P03965	PF02787	438	567	Domain	Carbamoyl-phosphate synthetase large chain, oligomerisation domain	CPSase_L_D3
10840521	P07259	PF02787	845	968	Domain	Carbamoyl-phosphate synthetase large chain, oligomerisation domain	CPSase_L_D3
10849248	P07259	PF00988	22	161	Domain	Carbamoyl-phosphate synthase small chain, CPSase domain	CPSase_sm_chain
10854867	P07258	PF00988	7	145	Domain	Carbamoyl-phosphate synthase small chain, CPSase domain	CPSase_sm_chain
10857789	Q12102	PF13299	755	856	Family	Cleavage and polyadenylation factor 2 C-terminal	CPSF100_C
10858354	Q06224	PF11718	532	777	Domain	Pre-mRNA 3'-end-processing endonuclease polyadenylation factor C-term	CPSF73-100_C
10858660	Q08553	PF11718	10	186	Domain	Pre-mRNA 3'-end-processing endonuclease polyadenylation factor C-term	CPSF73-100_C
10859631	Q04693	PF03178	980	1328	Family	CPSF A subunit region	CPSF_A
10862204	Q06632	PF03178	990	1318	Family	CPSF A subunit region	CPSF_A
10871961	P53844	PF00650	141	292	Domain	CRAL/TRIO domain	CRAL_TRIO
10872685	Q06705	PF00650	161	312	Domain	CRAL/TRIO domain	CRAL_TRIO
10875152	P47008	PF00650	103	261	Domain	CRAL/TRIO domain	CRAL_TRIO
10883332	P53860	PF00650	137	290	Domain	CRAL/TRIO domain	CRAL_TRIO
10885639	P33324	PF00650	103	269	Domain	CRAL/TRIO domain	CRAL_TRIO
10885657	P24280	PF00650	102	267	Domain	CRAL/TRIO domain	CRAL_TRIO
10886694	P32525	PF13716	21	168	Domain	Divergent CRAL/TRIO domain	CRAL_TRIO_2
10890147	Q06705	PF03765	81	132	Domain	CRAL/TRIO, N-terminal domain	CRAL_TRIO_N
10891398	P24280	PF03765	36	78	Domain	CRAL/TRIO, N-terminal domain	CRAL_TRIO_N
10892734	P33324	PF03765	27	74	Domain	CRAL/TRIO, N-terminal domain	CRAL_TRIO_N
10893885	P53860	PF03765	47	110	Domain	CRAL/TRIO, N-terminal domain	CRAL_TRIO_N
10895859	P53844	PF03765	49	115	Domain	CRAL/TRIO, N-terminal domain	CRAL_TRIO_N
10900585	Q08913	PF02537	242	362	Family	CrcB-like protein, Camphor Resistance (CrcB)	CRCB
10901096	Q08991	PF02537	242	362	Family	CrcB-like protein, Camphor Resistance (CrcB)	CRCB
10906288	P32832	PF08624	121	253	Family	Chromatin remodelling complex Rsc7/Swp82 subunit	CRC_subunit
10906335	P43554	PF08624	83	219	Family	Chromatin remodelling complex Rsc7/Swp82 subunit	CRC_subunit
10919820	Q07825	PF01321	108	274	Domain	Creatinase/Prolidase N-terminal domain	Creatinase_N
10925449	Q07825	PF16189	280	460	Domain	Creatinase/Prolidase N-terminal domain	Creatinase_N_2
10932997	Q04930	PF10380	345	455	Family	Transcription factor CRF1	CRF1
10933046	P39520	PF10380	678	788	Family	Transcription factor CRF1	CRF1
10935310	Q08236	PF16978	637	786	Family	SAPK-interacting protein 1 (Sin1), middle CRIM domain	CRIM
10944138	P30822	PF08767	720	1044	Family	CRM1 C terminal	CRM1_C
10946313	P30822	PF18777	338	374	Repeat	Chromosome region maintenance or exportin repeat	CRM1_repeat
10947580	P30822	PF18784	416	483	Repeat	CRM1 / Exportin repeat 2	CRM1_repeat_2
10948363	P30822	PF18787	496	546	Repeat	CRM1 / Exportin repeat 3	CRM1_repeat_3
10958285	Q08226	PF08728	125	948	Family	CRT10	CRT10
10973202	Q08446	PF04969	185	267	Domain	CS domain	CS
11015379	P33307	PF08506	150	520	Family	Cse1	Cse1
11016025	Q04175	PF08506	185	429	Family	Cse1	Cse1
11016420	P35206	PF16965	1	403	Family	Ceramide synthase regulator	CSG2
11020021	P25651	PF12539	72	166	Family	Chromosome segregation protein Csm1/Pcs1	Csm1
11020629	P25651	PF18504	1	70	Coiled-coil	Csm1 N-terminal domain	Csm1_N
11020681	P40465	PF16834	9	208	Domain	Shu complex component Csm2, DNA-binding	CSM2
11025289	P32496	PF10075	100	246	Family	CSN8/PSMD8/EIF3K family	CSN8_PSD8_EIF3K
11040851	P39927	PF14327	174	255	Family	Hinge domain of cleavage stimulation factor subunit 2	CSTF2_hinge
11041874	P39927	PF14304	386	417	Domain	Transcription termination and cleavage factor C-terminal	CSTF_C
11042097	P25299	PF14304	253	291	Domain	Transcription termination and cleavage factor C-terminal	CSTF_C
11045322	P19516	PF04442	103	254	Family	Cytochrome c oxidase assembly protein CtaG/Cox11	CtaG_Cox11
11046590	P27692	PF12815	902	993	Repeat	Spt5 C-terminal nonapeptide repeat binding Spt4	CTD
11048089	P53617	PF04818	62	137	Family	RNA polymerase II-binding domain.	CTD_bind
11049377	Q05543	PF04818	57	119	Family	RNA polymerase II-binding domain.	CTD_bind
11051051	P38877	PF09696	23	132	Family	Ctf8	Ctf8
11055086	P46963	PF12350	223	290	Domain	CTD kinase subunit gamma CTK3 C-terminus	CTK3_C
11062882	P28274	PF06418	2	270	Domain	CTP synthase N-terminus	CTP_synth_N
11067464	P38627	PF06418	2	270	Domain	CTP synthase N-terminus	CTP_synth_N
11071085	P38221	PF01148	63	393	Family	Cytidylyltransferase family	CTP_transf_1
11091192	P53332	PF01467	146	289	Domain	Cytidylyltransferase-like	CTP_transf_like
11093437	P53204	PF01467	163	355	Domain	Cytidylyltransferase-like	CTP_transf_like
11096033	P13259	PF01467	107	235	Domain	Cytidylyltransferase-like	CTP_transf_like
11100052	P33412	PF01467	11	141	Domain	Cytidylyltransferase-like	CTP_transf_like
11105982	P33412	PF01467	201	322	Domain	Cytidylyltransferase-like	CTP_transf_like
11107804	Q06178	PF01467	169	361	Domain	Cytidylyltransferase-like	CTP_transf_like
11108721	P25576	PF01467	31	229	Domain	Cytidylyltransferase-like	CTP_transf_like
11116391	P38865	PF04145	61	173	Family	Ctr copper transporter family	Ctr
11116805	P49573	PF04145	129	281	Family	Ctr copper transporter family	Ctr
11118759	Q06686	PF04145	20	210	Family	Ctr copper transporter family	Ctr
11122244	P53923	PF10288	323	446	Family	Cytoplasmic tRNA 2-thiolation protein 2	CTU2
11125776	P32528	PF02626	1103	1381	Family	Carboxyltransferase domain, subdomain A and B	CT_A_B
11131322	P32528	PF02682	1436	1658	Family	Carboxyltransferase domain, subdomain C and D	CT_C_D
11136894	P38993	PF00394	154	302	Domain	Multicopper oxidase	Cu-oxidase
11139584	Q04399	PF00394	206	346	Domain	Multicopper oxidase	Cu-oxidase
11145261	P43561	PF00394	156	305	Domain	Multicopper oxidase	Cu-oxidase
11151742	Q04399	PF07731	393	551	Domain	Multicopper oxidase	Cu-oxidase_2
11166100	P43561	PF07731	367	516	Domain	Multicopper oxidase	Cu-oxidase_2
11168120	P38993	PF07731	362	504	Domain	Multicopper oxidase	Cu-oxidase_2
11175188	P38993	PF07732	29	147	Domain	Multicopper oxidase	Cu-oxidase_3
11178831	P43561	PF07732	26	150	Domain	Multicopper oxidase	Cu-oxidase_3
11185685	Q04399	PF07732	36	166	Domain	Multicopper oxidase	Cu-oxidase_3
11232751	P36075	PF02845	9	50	Family	CUE domain	CUE
11232858	P53137	PF02845	317	358	Family	CUE domain	CUE
11233515	Q04201	PF02845	75	115	Family	CUE domain	CUE
11234241	P54787	PF02845	409	450	Family	CUE domain	CUE
11234550	P35732	PF02845	23	62	Family	CUE domain	CUE
11236160	Q05610	PF02845	86	124	Family	CUE domain	CUE
11237027	Q08412	PF02845	98	139	Family	CUE domain	CUE
11237452	P36075	PF02845	56	97	Family	CUE domain	CUE
11237581	P38428	PF02845	66	106	Family	CUE domain	CUE
11237639	P38428	PF18499	151	202	Domain	Ubc7p-binding region of Cue1	Cue1_U7BR
11238925	Q12018	PF00888	15	695	Family	Cullin family	Cullin
11239119	P53202	PF00888	26	638	Family	Cullin family	Cullin
11244322	Q12440	PF00888	568	751	Family	Cullin family	Cullin
11245886	Q12395	PF03556	144	264	Family	Cullin binding	Cullin_binding
11248517	P53202	PF10557	675	736	Domain	Cullin protein neddylation domain	Cullin_Nedd8
11248765	Q12018	PF10557	746	808	Domain	Cullin protein neddylation domain	Cullin_Nedd8
11315662	Q03629	PF06172	31	179	Domain	Cupin superfamily (DUF985)	Cupin_5
11344586	P38637	PF08559	35	275	Family	Cut8, nuclear proteasome tether protein	Cut8
11383058	P53854	PF12542	72	160	Family	Pre-mRNA splicing factor	CWC25
11385701	Q03375	PF08312	66	109	Domain	cwf21 domain	cwf21
11388165	P53255	PF04677	256	388	Family	Protein similar to CwfJ C-terminus 1	CwfJ_C_1
11389277	P53255	PF04676	358	503	Family	Protein similar to CwfJ C-terminus 2	CwfJ_C_2
11391515	Q03772	PF04889	1	126	Family	Cwf15/Cwc15 cell cycle control protein	Cwf_Cwc_15
11408978	Q04341	PF16860	57	102	Domain	CHCH-CHCH-like Cx9C, IMS import disulfide relay-system,	CX9C
11422337	Q06236	PF05328	26	159	Family	CybS, succinate dehydrogenase cytochrome B small subunit	CybS
11422370	Q08749	PF05328	45	180	Family	CybS, succinate dehydrogenase cytochrome B small subunit	CybS
11422999	P37298	PF05328	34	167	Family	CybS, succinate dehydrogenase cytochrome B small subunit	CybS
11433674	P20052	PF08613	33	170	Family	Cyclin	Cyclin
11433752	Q08966	PF08613	190	467	Family	Cyclin	Cyclin
11433756	P53124	PF08613	231	408	Family	Cyclin	Cyclin
11436591	P40038	PF08613	316	388	Family	Cyclin	Cyclin
11437479	P40038	PF08613	170	279	Family	Cyclin	Cyclin
11438190	P40186	PF08613	108	264	Family	Cyclin	Cyclin
11439215	P24871	PF02984	338	453	Domain	Cyclin, C-terminal domain	Cyclin_C
11440035	P24868	PF02984	339	454	Domain	Cyclin, C-terminal domain	Cyclin_C
11441106	P32943	PF02984	254	373	Domain	Cyclin, C-terminal domain	Cyclin_C
11445462	P24870	PF02984	299	414	Domain	Cyclin, C-terminal domain	Cyclin_C
11446454	P30283	PF02984	296	418	Domain	Cyclin, C-terminal domain	Cyclin_C
11447430	P24869	PF02984	359	474	Domain	Cyclin, C-terminal domain	Cyclin_C
11447948	P37366	PF16899	213	344	Domain	Cyclin C-terminal domain	Cyclin_C_2
11451063	P32943	PF00134	123	252	Domain	Cyclin, N-terminal domain	Cyclin_N
11451208	P20437	PF00134	41	193	Domain	Cyclin, N-terminal domain	Cyclin_N
11452623	P24870	PF00134	171	297	Domain	Cyclin, N-terminal domain	Cyclin_N
11455262	P24871	PF00134	210	336	Domain	Cyclin, N-terminal domain	Cyclin_N
11458613	P38794	PF00134	47	179	Domain	Cyclin, N-terminal domain	Cyclin_N
11458923	P25693	PF00134	18	146	Domain	Cyclin, N-terminal domain	Cyclin_N
11460175	P47821	PF00134	45	176	Domain	Cyclin, N-terminal domain	Cyclin_N
11461189	P37366	PF00134	88	210	Domain	Cyclin, N-terminal domain	Cyclin_N
11461732	P30283	PF00134	165	294	Domain	Cyclin, N-terminal domain	Cyclin_N
11462662	P24867	PF00134	19	152	Domain	Cyclin, N-terminal domain	Cyclin_N
11462892	P13365	PF00134	76	206	Domain	Cyclin, N-terminal domain	Cyclin_N
11464098	P24869	PF00134	232	357	Domain	Cyclin, N-terminal domain	Cyclin_N
11464743	P24868	PF00134	212	337	Domain	Cyclin, N-terminal domain	Cyclin_N
11465859	P20438	PF00134	43	195	Domain	Cyclin, N-terminal domain	Cyclin_N
11467342	P46962	PF00134	12	146	Domain	Cyclin, N-terminal domain	Cyclin_N
11467430	Q12477	PF00134	17	146	Domain	Cyclin, N-terminal domain	Cyclin_N
11475792	Q6Q5X2	PF12734	5	48	Family	Cysteine-rich TM module stress tolerance	CYSTM
11478875	Q12198	PF01053	218	565	Domain	Cys/Met metabolism PLP-dependent enzyme	Cys_Met_Meta_PP
11479432	P53101	PF01053	7	405	Domain	Cys/Met metabolism PLP-dependent enzyme	Cys_Met_Meta_PP
11486000	Q04533	PF01053	302	644	Domain	Cys/Met metabolism PLP-dependent enzyme	Cys_Met_Meta_PP
11494464	P31373	PF01053	10	390	Domain	Cys/Met metabolism PLP-dependent enzyme	Cys_Met_Meta_PP
11494885	P43623	PF01053	13	340	Domain	Cys/Met metabolism PLP-dependent enzyme	Cys_Met_Meta_PP
11494937	P06106	PF01053	6	436	Domain	Cys/Met metabolism PLP-dependent enzyme	Cys_Met_Meta_PP
11495375	P38716	PF01053	5	372	Domain	Cys/Met metabolism PLP-dependent enzyme	Cys_Met_Meta_PP
11496513	P47164	PF01053	288	634	Domain	Cys/Met metabolism PLP-dependent enzyme	Cys_Met_Meta_PP
11515608	Q12091	PF00173	45	145	Domain	Cytochrome b5-like Heme/Steroid binding domain	Cyt-b5
11515689	P00175	PF00173	92	165	Domain	Cytochrome b5-like Heme/Steroid binding domain	Cyt-b5
11522053	P21147	PF00173	413	487	Domain	Cytochrome b5-like Heme/Steroid binding domain	Cyt-b5
11526654	Q03529	PF00173	13	90	Domain	Cytochrome b5-like Heme/Steroid binding domain	Cyt-b5
11529331	Q04772	PF00173	126	200	Domain	Cytochrome b5-like Heme/Steroid binding domain	Cyt-b5
11530010	P40312	PF00173	6	78	Domain	Cytochrome b5-like Heme/Steroid binding domain	Cyt-b5
11549611	P03873	PF00033	17	186	Domain	Cytochrome b/b6/petB	Cytochrome_B
11552501	P00163	PF00033	17	205	Domain	Cytochrome b/b6/petB	Cytochrome_B
11553056	Q9ZZW7	PF00033	17	208	Domain	Cytochrome b/b6/petB	Cytochrome_B
11553521	P03879	PF00033	17	205	Domain	Cytochrome b/b6/petB	Cytochrome_B
11594884	P00163	PF00032	259	360	Domain	Cytochrome b(C-terminal)/b6/petD	Cytochrom_B_C
11603187	P00044	PF00034	9	107	Domain	Cytochrome c	Cytochrom_C
11611171	P00045	PF00034	13	112	Domain	Cytochrome c	Cytochrom_C
11624570	P07143	PF02167	76	295	Family	Cytochrome C1 family	Cytochrom_C1
11648281	Q02208	PF10407	82	153	Family	Cdc14 phosphatase binding protein N-terminus	Cytokin_check_N
11648359	P47035	PF10407	71	142	Family	Cdc14 phosphatase binding protein N-terminus	Cytokin_check_N
11649226	P06182	PF01265	1	254	Family	Cytochrome c/c1 heme lyase	Cyto_heme_lyase
11650110	Q00873	PF01265	1	220	Family	Cytochrome c/c1 heme lyase	Cyto_heme_lyase
11675691	P53095	PF14031	307	412	Domain	Putative serine dehydratase domain	D-ser_dehydrat
11676853	Q05791	PF07065	27	328	Family	D123	D123
11685446	P46964	PF02109	23	130	Family	DAD family	DAD
11687393	Q08650	PF03982	145	417	Family	Diacylglycerol acyltransferase	DAGAT
11689606	Q08650	PF03982	79	146	Family	Diacylglycerol acyltransferase	DAGAT
11708352	Q12246	PF00781	228	359	Family	Diacylglycerol kinase catalytic domain	DAGK_cat
11711293	Q06147	PF00781	270	401	Family	Diacylglycerol kinase catalytic domain	DAGK_cat
11725534	P14843	PF00793	34	355	Domain	DAHP synthetase I family	DAHP_synth_1
11731348	P32449	PF00793	40	355	Domain	DAHP synthetase I family	DAHP_synth_1
11737287	P54838	PF02733	17	343	Family	Dak1 domain	Dak1
11739028	P43550	PF02733	18	343	Family	Dak1 domain	Dak1
11746049	P43550	PF02734	410	587	Family	DAK2 domain	Dak2
11747612	P54838	PF02734	412	582	Family	DAK2 domain	Dak2
11776884	Q05506	PF05746	489	607	Domain	DALR anticodon binding domain	DALR_1
11783400	P38714	PF05746	525	643	Domain	DALR anticodon binding domain	DALR_1
11804058	P38758	PF01266	23	497	Domain	FAD dependent oxidoreductase	DAO
11825411	P32191	PF01266	69	466	Domain	FAD dependent oxidoreductase	DAO
11858259	P32191	PF16901	488	633	Family	C-terminal domain of alpha-glycerophosphate oxidase	DAO_C
11860224	Q01163	PF10236	124	444	Family	Mitochondrial ribosomal death-associated protein 3	DAP3
11895944	P35734	PF08655	10	73	Family	DASH complex subunit Ask1	DASH_Ask1
11896510	Q12248	PF08649	19	73	Family	DASH complex subunit Dad1	DASH_Dad1
11897033	P36162	PF08654	5	129	Family	DASH complex subunit Dad2	DASH_Dad2
11897591	P69850	PF08656	5	89	Family	DASH complex subunit Dad3	DASH_Dad3
11897899	P69851	PF08650	1	71	Family	DASH complex subunit Dad4	DASH_Dad4
11898112	P53267	PF08653	63	118	Family	DASH complex subunit Dam1	DASH_Dam1
11899024	P53168	PF08651	63	137	Family	DASH complex subunit Duo1	DASH_Duo1
11899372	P69852	PF08227	6	52	Family	DASH complex subunit Hsk3 like	DASH_Hsk3
11900059	Q03954	PF08287	5	162	Family	Spc19	DASH_Spc19
11900512	P36131	PF08657	5	293	Family	DASH complex subunit Spc34	DASH_Spc34
11905756	P53115	PF13892	469	602	Domain	DNA-binding domain	DBINO
11912659	Q12389	PF08147	820	880	Domain	DBP10CT (NUC160) domain	DBP10CT
11919010	P24309	PF05011	291	400	Domain	Lariat debranching enzyme, C-terminal domain	DBR1
11942151	P11075	PF16213	219	430	Family	Dimerisation and cyclophilin-binding domain of Mon2	DCB
11944761	P48563	PF16213	7	180	Family	Dimerisation and cyclophilin-binding domain of Mon2	DCB
11945115	P25559	PF09724	15	348	Family	Sister chromatid cohesion protein Dcc1	Dcc1
11956104	Q9URQ3	PF00383	161	273	Family	Cytidine and deoxycytidylate deaminase zinc-binding region	dCMP_cyt_deam_1
11961975	P06773	PF00383	161	279	Family	Cytidine and deoxycytidylate deaminase zinc-binding region	dCMP_cyt_deam_1
11967771	Q12362	PF00383	432	543	Family	Cytidine and deoxycytidylate deaminase zinc-binding region	dCMP_cyt_deam_1
11969008	P47058	PF00383	1	107	Family	Cytidine and deoxycytidylate deaminase zinc-binding region	dCMP_cyt_deam_1
11972953	Q12178	PF00383	8	110	Family	Cytidine and deoxycytidylate deaminase zinc-binding region	dCMP_cyt_deam_1
11975509	Q06549	PF00383	8	115	Family	Cytidine and deoxycytidylate deaminase zinc-binding region	dCMP_cyt_deam_1
11979688	Q12517	PF06058	19	101	Family	Dcp1-like decapping family	DCP1
11980064	Q12517	PF06058	130	220	Family	Dcp1-like decapping family	DCP1
11982065	P53550	PF05026	17	99	Domain	Dcp2, box A domain	DCP2
11982425	Q06151	PF05652	10	130	Family	Scavenger mRNA decapping enzyme (DcpS) N-terminal	DcpS
11982789	Q12123	PF05652	8	129	Family	Scavenger mRNA decapping enzyme (DcpS) N-terminal	DcpS
11983224	Q12123	PF11969	159	285	Family	Scavenger mRNA decapping enzyme C-term binding	DcpS_C
11985320	Q06151	PF11969	160	286	Family	Scavenger mRNA decapping enzyme C-term binding	DcpS_C
12060101	P32896	PF03184	198	406	Family	DDE superfamily endonuclease	DDE_1
12155153	Q12204	PF02862	519	699	Family	DDHD domain	DDHD
12158618	P33767	PF03345	26	423	Family	Oligosaccharyltransferase 48 kDa subunit beta	DDOST_48kD
12161582	Q08964	PF02791	378	429	Family	DDT domain	DDT
12162140	P53125	PF02791	424	478	Family	DDT domain	DDT
12163928	P43538	PF00270	2	164	Domain	DEAD/DEAH box helicase	DEAD
12163936	P20449	PF00270	116	281	Domain	DEAD/DEAH box helicase	DEAD
12166716	P40105	PF00270	675	849	Domain	DEAD/DEAH box helicase	DEAD
12169310	P38721	PF00270	2	164	Domain	DEAD/DEAH box helicase	DEAD
12169963	P36009	PF00270	84	247	Domain	DEAD/DEAH box helicase	DEAD
12172623	P0CX15	PF00270	853	1027	Domain	DEAD/DEAH box helicase	DEAD
12176002	P53819	PF00270	853	1027	Domain	DEAD/DEAH box helicase	DEAD
12180215	Q12099	PF00270	47	216	Domain	DEAD/DEAH box helicase	DEAD
12181945	P15938	PF00270	353	516	Domain	DEAD/DEAH box helicase	DEAD
12182778	Q03532	PF00270	66	238	Domain	DEAD/DEAH box helicase	DEAD
12184409	P10081	PF00270	46	211	Domain	DEAD/DEAH box helicase	DEAD
12185142	P24783	PF00270	137	308	Domain	DEAD/DEAH box helicase	DEAD
12185688	P0CX22	PF00270	789	963	Domain	DEAD/DEAH box helicase	DEAD
12187112	P32639	PF00270	1349	1520	Domain	DEAD/DEAH box helicase	DEAD
12189775	Q3E7Y5	PF00270	367	541	Domain	DEAD/DEAH box helicase	DEAD
12193248	P0CX20	PF00270	789	963	Domain	DEAD/DEAH box helicase	DEAD
12193448	P53734	PF00270	198	390	Domain	DEAD/DEAH box helicase	DEAD
12195197	P0CX14	PF00270	853	1027	Domain	DEAD/DEAH box helicase	DEAD
12197758	P24784	PF00270	178	363	Domain	DEAD/DEAH box helicase	DEAD
12201010	P53327	PF00270	289	475	Domain	DEAD/DEAH box helicase	DEAD
12201910	P45818	PF00270	146	322	Domain	DEAD/DEAH box helicase	DEAD
12203562	P35187	PF00270	680	852	Domain	DEAD/DEAH box helicase	DEAD
12208896	P23394	PF00270	198	388	Domain	DEAD/DEAH box helicase	DEAD
12212745	P15424	PF00270	130	315	Domain	DEAD/DEAH box helicase	DEAD
12214424	Q03099	PF00270	367	541	Domain	DEAD/DEAH box helicase	DEAD
12220150	Q06218	PF00270	41	222	Domain	DEAD/DEAH box helicase	DEAD
12223266	P53131	PF00270	96	258	Domain	DEAD/DEAH box helicase	DEAD
12234743	P38719	PF00270	26	198	Domain	DEAD/DEAH box helicase	DEAD
12235498	Q07478	PF00270	86	257	Domain	DEAD/DEAH box helicase	DEAD
12237067	Q99208	PF00270	367	541	Domain	DEAD/DEAH box helicase	DEAD
12238225	Q06698	PF00270	607	772	Domain	DEAD/DEAH box helicase	DEAD
12241130	P20447	PF00270	136	304	Domain	DEAD/DEAH box helicase	DEAD
12242348	P25808	PF00270	31	213	Domain	DEAD/DEAH box helicase	DEAD
12244626	P32892	PF00270	255	426	Domain	DEAD/DEAH box helicase	DEAD
12252417	P06634	PF00270	166	351	Domain	DEAD/DEAH box helicase	DEAD
12255590	P39517	PF00270	70	236	Domain	DEAD/DEAH box helicase	DEAD
12256205	O13559	PF00270	375	549	Domain	DEAD/DEAH box helicase	DEAD
12256539	P51979	PF00270	140	310	Domain	DEAD/DEAH box helicase	DEAD
12257883	P38712	PF00270	105	273	Domain	DEAD/DEAH box helicase	DEAD
12258225	Q05549	PF00270	292	472	Domain	DEAD/DEAH box helicase	DEAD
12258526	Q12389	PF00270	161	329	Domain	DEAD/DEAH box helicase	DEAD
12259992	P35207	PF00270	331	484	Domain	DEAD/DEAH box helicase	DEAD
12263507	P36120	PF00270	168	361	Domain	DEAD/DEAH box helicase	DEAD
12263894	P53327	PF00270	1141	1312	Domain	DEAD/DEAH box helicase	DEAD
12268711	P38112	PF00270	195	389	Domain	DEAD/DEAH box helicase	DEAD
12270721	Q04217	PF00270	396	569	Domain	DEAD/DEAH box helicase	DEAD
12272853	P0CX21	PF00270	789	963	Domain	DEAD/DEAH box helicase	DEAD
12272878	P47047	PF00270	151	302	Domain	DEAD/DEAH box helicase	DEAD
12273496	P20448	PF00270	65	235	Domain	DEAD/DEAH box helicase	DEAD
12274291	P32639	PF00270	500	680	Domain	DEAD/DEAH box helicase	DEAD
12278989	P38899	PF00270	303	477	Domain	DEAD/DEAH box helicase	DEAD
12280354	P21372	PF00270	280	456	Domain	DEAD/DEAH box helicase	DEAD
12281243	P53166	PF00270	138	328	Domain	DEAD/DEAH box helicase	DEAD
12289448	P20095	PF00270	226	389	Domain	DEAD/DEAH box helicase	DEAD
12301445	P06839	PF06733	71	257	Family	DEAD_2	DEAD_2
12302178	P22516	PF06733	235	415	Family	DEAD_2	DEAD_2
12356960	Q05024	PF08766	3	55	Domain	DEK C terminal domain	DEK_C
12357384	Q08747	PF08766	3	55	Domain	DEK C terminal domain	DEK_C
12389890	P11972	PF00610	276	356	Domain	Domain found in Dishevelled, Egl-10, and Pleckstrin (DEP)	DEP
12391169	P43556	PF00610	219	289	Domain	Domain found in Dishevelled, Egl-10, and Pleckstrin (DEP)	DEP
12391954	P51862	PF00610	431	501	Domain	Domain found in Dishevelled, Egl-10, and Pleckstrin (DEP)	DEP
12392529	P53046	PF00610	277	347	Domain	Domain found in Dishevelled, Egl-10, and Pleckstrin (DEP)	DEP
12395293	P47170	PF00610	1201	1271	Domain	Domain found in Dishevelled, Egl-10, and Pleckstrin (DEP)	DEP
12398398	P38307	PF04511	12	202	Family	Der1-like family	DER1
12398619	Q12743	PF04511	30	248	Family	Der1-like family	DER1
12406945	P40506	PF04127	71	141	Family	DNA / pantothenate metabolism flavoprotein	DFP
12411031	P40506	PF04127	169	326	Family	DNA / pantothenate metabolism flavoprotein	DFP
12414406	P32325	PF08630	189	311	Family	Dfp1/Him1, central region	Dfp1_Him1_M
12415106	Q12000	PF16543	219	310	Domain	DRG Family Regulatory Proteins, Tma46	DFRP_C
12425694	Q99258	PF00926	6	205	Family	3,4-dihydroxy-2-butanone 4-phosphate synthase	DHBP_synthase
12432387	P36022	PF08385	219	767	Family	Dynein heavy chain, N-terminal region 1	DHC_N1
12436563	P36022	PF08393	1221	1626	Family	Dynein heavy chain, N-terminal region 2	DHC_N2
12465797	P07807	PF00186	7	180	Domain	Dihydrofolate reductase	DHFR_1
12471908	P38698	PF01368	30	199	Family	DHH family	DHH
