AC	ID	Name	Type
PF05317	Thermopsin	Thermopsin	F
PF04708	Pox_F16	Poxvirus F16 protein	F
PF04709	AMH_N	Anti-Mullerian hormone, N terminal region	F
PF04706	Dickkopf_N	Dickkopf N-terminal cysteine-rich region	F
PF04707	PRELI	PRELI-like family	F
PF16524	RisS_PPD	Periplasmic domain of Sensor histidine kinase RisS	D
PF04705	TSNR_N	Thiostrepton-resistance methylase, N terminus	F
PF04702	Vicilin_N	Vicilin N terminal region	F
PF04703	FaeA	FaeA-like protein	D
PF04700	Baculo_gp41	Structural glycoprotein p40/gp41 conserved region	F
PF04701	Pox_D2	Pox virus D2 protein	F
PF06007	PhnJ	Phosphonate metabolism protein PhnJ	F
PF07708	Tash_PEST	Tash protein PEST motif	M
PF10879	DUF2674	Protein of unknown function (DUF2674)	F
PF10878	DUF2672	Protein of unknown function (DUF2672)	F
PF10309	NCBP3	Nuclear cap-binding protein subunit 3	F
PF06006	DUF905	Bacterial protein of unknown function (DUF905)	F
PF10875	DUF2670	Protein of unknown function (DUF2670)	F
PF10874	DUF2746	Protein of unknown function (DUF2746)	F
PF10877	DUF2671	Protein of unknown function (DUF2671)	F
PF10876	Phage_TAC_9	Phage tail assemb.y chaperone protein, TAC	F
PF10303	DUF2408	Protein of unknown function (DUF2408)	F
PF10302	DUF2407	DUF2407 ubiquitin-like domain	D
PF10873	CYYR1	Cysteine and tyrosine-rich protein 1	F
PF10872	DUF2740	Protein of unknown function (DUF2740)	F
PF00399	PIR	Yeast PIR protein repeat	R
PF00398	RrnaAD	Ribosomal RNA adenine dimethylase	D
PF00469	F-protein	Negative factor, (F-Protein) or Nef	F
PF12111	PNPase_C	Polyribonucleotide phosphorylase C terminal	D
PF00436	SSB	Single-strand binding protein family	D
PF00463	ICL	Isocitrate lyase family	D
PF00462	Glutaredoxin	Glutaredoxin	D
PF00393	6PGD	6-phosphogluconate dehydrogenase, C-terminal domain	D
PF00460	Flg_bb_rod	Flagella basal body rod protein	F
PF00467	KOW	KOW motif	F
PF00394	Cu-oxidase	Multicopper oxidase	D
PF00465	Fe-ADH	Iron-containing alcohol dehydrogenase	F
PF00396	Granulin	Granulin	F
PF06708	DUF1195	Protein of unknown function (DUF1195)	F
PF06709	DUF1196	Protein of unknown function (DUF1196)	F
PF16057	DUF4800	Domain of unknown function (DUF4800)	F
PF10272	Tmpp129	Putative transmembrane protein precursor	F
PF06701	MIB_HERC2	Mib_herc2	D
PF06702	Fam20C	Golgi casein kinase, C-terminal, Fam20	F
PF16056	DUF4799	Domain of unknown function (DUF4799)	F
PF06705	SF-assemblin	SF-assemblin/beta giardin	F
PF06706	CTV_P6	Citrus tristeza virus 6-kDa protein	F
PF06707	DUF1194	Protein of unknown function (DUF1194)	F
PF09910	DUF2139	Uncharacterized protein conserved in archaea (DUF2139)	F
PF09911	DUF2140	Uncharacterized protein conserved in bacteria (DUF2140)	F
PF09912	DUF2141	Uncharacterized protein conserved in bacteria (DUF2141)	F
PF09913	DUF2142	Predicted membrane protein (DUF2142)	F
PF09688	Wx5_PLAF3D7	Protein of unknown function (Wx5_PLAF3D7)	F
PF09916	DUF2145	Uncharacterized protein conserved in bacteria (DUF2145)	F
PF09917	DUF2147	Uncharacterized protein conserved in bacteria (DUF2147)	F
PF09918	DUF2148	Uncharacterized protein containing a ferredoxin domain (DUF2148)	F
PF09919	DUF2149	Uncharacterized conserved protein (DUF2149)	F
PF16505	Emaravirus_P4	P4 movement protein of Emaravirus, and the 30K superfamily	F
PF12657	TFIIIC_delta	Transcription factor IIIC subunit delta N-term	D
PF12656	G-patch_2	G-patch domain	D
PF12655	DUF3787	Domain of unknown function (DUF3787)	D
PF12654	DUF3786	Domain of unknown function (DUF3786)	D
PF12653	DUF3785	Protein of unknown function (DUF3785)	D
PF12652	CotJB	CotJB protein	D
PF16439	DUF5036	Domain of unknown function (DUF5036)	F
PF12650	DUF3784	Domain of unknown function (DUF3784)	D
PF16503	zn-ribbon_14	Zinc-ribbon	F
PF18550	NitrOD2	Nitrososphaera output domain 2	D
PF12659	Stn1_C	Telomere capping C-terminal wHTH	D
PF13022	HTH_Tnp_1_2	Helix-turn-helix of insertion element transposase	D
PF06661	VirE3	VirE3	F
PF17211	VHL_C	VHL box domain	D
PF18551	TackOD1	Thaumarchaeal output domain 1	D
PF06009	Laminin_II	Laminin Domain II	C
PF09262	PEX-1N	Peroxisome biogenesis factor 1, N-terminal	D
PF16500	Cyclin_N2	N-terminal region of cyclin_N	F
PF09263	PEX-2N	Peroxisome biogenesis factor 1, N-terminal	D
PF16438	DUF5035	Domain of unknown function (DUF5035)	F
PF18802	CxC1	CxC1 like cysteine cluster associated with KDZ transposases	D
PF09261	Alpha-mann_mid	Alpha mannosidase middle domain	D
PF17212	Tube	Tail tubular protein	F
PF03288	Pox_D5	Poxvirus D5 protein-like	D
PF03289	Pox_I1	Poxvirus protein I1	F
PF07739	TipAS	TipAS antibiotic-recognition domain	D
PF03283	PAE	Pectinacetylesterase	F
PF03280	Lipase_chap	Proteobacterial lipase chaperone protein	F
PF03281	Mab-21	Mab-21 protein	F
PF03286	Pox_Ag35	Pox virus Ag35 surface protein	F
PF18558	HTH_51	Helix-turn-helix domain	D
PF03284	PHZA_PHZB	Phenazine biosynthesis protein A/B	D
PF03285	Paralemmin	Paralemmin	F
PF04614	Pex19	Pex19 protein family	F
PF16437	DUF5034	Domain of unknown function (DUF5034)	F
PF01052	FliMN_C	Type III flagellar switch regulator (C-ring) FliN C-term	F
PF15132	DUF4568	Domain of unknown function (DUF4568)	F
PF18808	Importin_rep_4	Importin repeat	R
PF12218	End_N_terminal	N terminal extension of bacteriophage endosialidase	D
PF04616	Glyco_hydro_43	Glycosyl hydrolases family 43	F
PF18809	PBECR1	phage-Barnase-EndoU-ColicinE5/D-RelE like nuclease1	D
PF12217	End_beta_propel	Catalytic beta propeller domain of bacteriophage endosialidase	D
PF04617	Hox9_act	Hox9 activation region	F
PF07557	Shugoshin_C	Shugoshin C terminus	F
PF01057	Parvo_NS1	Parvovirus non-structural protein NS1	D
PF14558	TRP_N	ML-like domain	D
PF12216	m04gp34like	Immune evasion protein	F
PF14556	AF2331-like	AF2331-like	D
PF14557	AphA_like	Putative AphA-like transcriptional regulator	D
PF14554	VEGF_C	VEGF heparin-binding domain	D
PF01056	Myc_N	Myc amino-terminal region	F
PF14552	Tautomerase_2	Tautomerase enzyme	D
PF01901	O_anti_polymase	Putative O-antigen polymerase	F
PF14550	Peptidase_S78_2	Putative phage serine protease XkdF	F
PF14551	MCM_N	MCM N-terminal domain	D
PF13016	Gliadin	Cys-rich Gliadin N-terminal	F
PF15825	FAM25	FAM25 family	F
PF16534	ULD	Ubiquitin-like oligomerisation domain of SATB	D
PF13015	PRKCSH_1	Glucosidase II beta subunit-like protein	F
PF13012	MitMem_reg	Maintenance of mitochondrial structure and function	F
PF13013	F-box-like_2	F-box-like domain	F
PF16530	IHHNV_capsid	Infectious hypodermal and haematopoietic necrosis virus, capsid	D
PF13011	LZ_Tnp_IS481	leucine-zipper of insertion element IS481	F
PF01907	Ribosomal_L37e	Ribosomal protein L37e	F
PF04613	LpxD	UDP-3-O-[3-hydroxymyristoyl] glucosamine N-acyltransferase, LpxD	F
PF00437	T2SSE	Type II/IV secretion system protein	F
PF08021	FAD_binding_9	Siderophore-interacting FAD-binding domain	D
PF13018	ESPR	Extended Signal Peptide of Type V secretion system	D
PF16539	FlgT_M	Flagellar assembly protein T, middle domain	D
PF12226	Astro_capsid_p	Turkey astrovirus capsid protein	F
PF12227	DUF3603	Protein of unknown function (DUF3603)	F
PF12224	Amidoligase_2	Putative amidoligase enzyme	F
PF12225	MTHFR_C	Methylene-tetrahydrofolate reductase C terminal	F
PF01936	NYN	NYN domain	D
PF12223	DUF3602	Protein of unknown function (DUF3602)	F
PF01934	DUF86	Protein of unknown function DUF86	F
PF01935	DUF87	Helicase HerA, central domain	D
PF16020	Deltameth_res	Deltamethrin resistance	F
PF15821	DUF4709	Domain of unknown function (DUF4709)	F
PF16022	DUF4783	Domain of unknown function (DUF4783)	D
PF16023	DUF4784	Domain of unknown function (DUF4784)	F
PF16024	DUF4785	Domain of unknown function (DUF4785)	F
PF16025	CALM_bind	Calcium-dependent calmodulin binding	F
PF12228	DUF3604	Protein of unknown function (DUF3604)	F
PF16027	DUF4786	Domain of unknown function (DUF4786)	F
PF15568	Imm39	Immunity protein 39	F
PF15138	Syncollin	Syncollin	F
PF15823	UPF0524	UPF0524 of C3orf70	F
PF06202	GDE_C	Amylo-alpha-1,6-glucosidase	D
PF15822	MISS	MAPK-interacting and spindle-stabilising protein-like	F
PF16181	RelB_transactiv	RelB transactivation domain	D
PF07126	ZapC	Cell-division protein ZapC	F
PF13456	RVT_3	Reverse transcriptase-like	D
PF17459	DUF5422	Family of unknown function (DUF5422)	F
PF04880	NUDE_C	NUDE protein, C-terminal conserved region	F
PF12843	QSregVF_b	Putative quorum-sensing-regulated virulence factor	F
PF16187	Peptidase_M16_M	Middle or third domain of peptidase_M16	F
PF16434	DUF5031	Domain of unknown function (DUF5031)	F
PF12840	HTH_20	Helix-turn-helix domain	D
PF16186	Arm_3	Atypical Arm repeat	F
PF15398	DUF4619	Domain of unknown function (DUF4619)	F
PF03639	Glyco_hydro_81	Glycosyl hydrolase family 81 N-terminal domain	D
PF03868	Ribosomal_L6e_N	Ribosomal protein L6, N-terminal domain	D
PF03869	Arc	Arc-like DNA binding domain	D
PF03866	HAP	Hydrophobic abundant protein (HAP)	F
PF03867	FTZ	Fushi tarazu (FTZ), N-terminal region	F
PF03864	Phage_cap_E	Phage major capsid protein E	F
PF16184	Cadherin_3	Cadherin-like	D
PF03862	SpoVAC_SpoVAEB	SpoVAC/SpoVAEB sporulation membrane protein	F
PF03863	Phage_mat-A	Phage maturation protein	F
PF03860	DUF326	Domain of Unknown Function (DUF326)	R
PF03861	ANTAR	ANTAR domain	D
PF03637	Mob1_phocein	Mob1/phocein family	F
PF04883	HK97-gp10_like	Bacteriophage HK97-gp10, putative tail-component	F
PF03636	Glyco_hydro_65N	Glycosyl hydrolase family 65, N-terminal domain	F
PF14408	Actino_peptide	Ribosomally synthesised peptide in actinomycetes	F
PF12845	TBD	TBD domain	F
PF15562	Imm17	Immunity protein 17	F
PF14409	Herpeto_peptide	Ribosomally synthesized peptide in Herpetosiphon	F
PF17451	Glyco_hyd_101C	Glycosyl hydrolase 101 beta sandwich domain	D
PF12935	Sec16_N	Vesicle coat trafficking protein Sec16 N-terminus	D
PF01395	PBP_GOBP	PBP/GOBP family	D
PF15564	Imm25	Immunity protein 25	F
PF17457	DUF5420	Family of unknown function (DUF5420)	F
PF14404	Strep_pep	Ribosomally synthesized peptide in Streptomyces species	F
PF11881	SPAR_C	C-terminal domain of SPAR protein	F
PF07492	Trehalase_Ca-bi	Neutral trehalase Ca2+ binding domain	D
PF15567	Imm35	Immunity protein 35	F
PF11126	Phage_DsbA	Transcriptional regulator DsbA	F
PF14909	SPATA6	Spermatogenesis-assoc protein 6	F
PF14407	Frankia_peptide	Ribosomally synthesized peptide prototyped by Frankia Franean1_4349.	F
PF14908	HU-CCDC81_euk_1	CCDC81 eukaryotic HU domain 1	D
PF14400	Transglut_i_TM	Inactive transglutaminase fused to 7 transmembrane helices	F
PF09049	SNN_transmemb	Stannin transmembrane	D
PF14401	RLAN	RimK-like ATPgrasp N-terminal domain	F
PF18798	LPD3	Large polyvalent protein-associated domain 3	F
PF04120	Iron_permease	Low affinity iron permease	F
PF17775	UPF0225	UPF0225 domain	D
PF17774	YlmH_RBD	Putative RNA-binding domain in YlmH	D
PF17773	UPF0176_N	UPF0176 acylphosphatase like domain	D
PF06838	Met_gamma_lyase	Methionine gamma-lyase	D
PF17771	ADAM_CR_2	ADAM cysteine-rich domain	D
PF17770	RNase_J_C	Ribonuclease J C-terminal domain	D
PF18790	KfrB	KfrB protein	D
PF18791	Transp_inhibit	Transport inhibitor response 1 protein domain	F
PF18792	UspA1_rep	Ubiquitous surface protein adhesin repeat	R
PF14403	CP_ATPgrasp_2	Circularly permuted ATP-grasp type 2	F
PF18794	HSM3_C	DNA mismatch repair protein HSM3, C terminal domain	F
PF18795	HSM3_N	DNA mismatch repair protein HSM3, N terminal domain	F
PF18796	LPD1	Large polyvalent protein-associated domain 1	D
PF18797	APC_rep	Adenomatous polyposis coli (APC) repeat	R
PF09517	RE_Eco29kI	Eco29kI restriction endonuclease	F
PF02588	YitT_membrane	Uncharacterised 5xTM membrane BCR, YitT family COG1284	F
PF00088	Trefoil	Trefoil (P-type) domain	D
PF07830	PP2C_C	Protein serine/threonine phosphatase 2C, C-terminal domain	D
PF09042	Titin_Z	Titin Z	D
PF02589	LUD_dom	LUD domain	D
PF09511	RNA_lig_T4_1	RNA ligase	F
PF14970	DUF4509	Domain of unknown function (DUF4509)	F
PF14971	DUF4510	Domain of unknown function (DUF4510)	F
PF14972	Mito_morph_reg	Mitochondrial morphogenesis regulator	F
PF14973	TINF2_N	TERF1-interacting nuclear factor 2 N-terminus	F
PF10278	Med19	Mediator of RNA pol II transcription subunit 19	F
PF14975	DUF4512	Domain of unknown function (DUF4512)	F
PF14976	FAM72	FAM72 protein	F
PF14977	FAM194	FAM194 protein	F
PF14978	MRP-63	Mitochondrial ribosome protein 63	F
PF14979	TMEM52	Transmembrane 52	F
PF09756	DDRGK	DDRGK domain	F
PF09757	Arb2	Arb2 domain	D
PF18536	DUF5623	Domain of unknown function (DUF5623)	D
PF18241	AvrM-A	Flax-rust effector AvrM-A	D
PF09752	DUF2048	Abhydrolase domain containing 18	F
PF18247	AvrM_N	Flax-rust effector AvrM N-terminal domain	D
PF09750	DRY_EERY	Alternative splicing regulator	D
PF18533	DUF5622	Domain of unknown function (DUF5622)	D
PF18248	RalF_SCD	RalF C-terminal Sec-7 capping domain	D
PF18249	Ca_bind_SSO6904	Calcium binding protein SSO6904	D
PF18538	DUF5624	Domain of unknown function (DUF5624)	D
PF18539	DUF5625	Domain of unknown function (DUF5625)	D
PF09758	FPL	Uncharacterised conserved protein	F
PF09759	Atx10homo_assoc	Spinocerebellar ataxia type 10 protein domain	D
PF09288	UBA_3	Fungal ubiquitin-associated domain	D
PF09289	FOLN	Follistatin/Osteonectin-like EGF domain	D
PF00639	Rotamase	PPIC-type PPIASE domain	D
PF14907	NTP_transf_5	Uncharacterised nucleotidyltransferase	D
PF10099	RskA	Anti-sigma-K factor rskA	F
PF10098	DUF2336	Uncharacterised protein conserved in bacteria (DUF2336)	F
PF10097	DUF2335	Predicted membrane protein (DUF2335)	F
PF10096	DUF2334	Uncharacterized protein conserved in bacteria (DUF2334)	F
PF10095	DUF2333	Uncharacterized protein conserved in bacteria (DUF2333)	F
PF10094	DUF2332	Uncharacterized protein conserved in bacteria (DUF2332)	F
PF10093	EarP	Elongation-Factor P (EF-P) rhamnosyltransferase EarP	F
PF10092	DUF2330	Uncharacterized protein conserved in bacteria (DUF2330)	F
PF10091	Glycoamylase	Putative glucoamylase	F
PF09287	CEP1-DNA_bind	CEP-1, DNA binding	D
PF05136	Phage_portal_2	Phage portal protein, lambda family	F
PF05137	PilN	Fimbrial assembly protein (PilN)	F
PF05134	T2SSL	Type II secretion system (T2SS), protein L	F
PF05135	Phage_connect_1	Phage gp6-like head-tail connector protein	D
PF05132	RNA_pol_Rpc4	RNA polymerase III RPC4	F
PF05133	Phage_prot_Gp6	Phage portal protein, SPP1 Gp6-like	F
PF05130	FlgN	FlgN protein	F
PF05131	Pep3_Vps18	Pep3/Vps18/deep orange family	F
PF05138	PaaA_PaaC	Phenylacetic acid catabolic protein	D
PF05139	Erythro_esteras	Erythromycin esterase	F
PF05428	CRF-BP	Corticotropin-releasing factor binding protein (CRF-BP)	F
PF00632	HECT	HECT-domain (ubiquitin-transferase)	D
PF00633	HHH	Helix-hairpin-helix motif	M
PF05420	BCSC_C	Cellulose synthase operon protein C C-terminus (BCSC_C)	F
PF05421	DUF751	Protein of unknown function (DUF751)	F
PF05422	SIN1	Stress-activated map kinase interacting protein 1 (SIN1)	F
PF05423	Mycobact_memb	Mycobacterium membrane protein	F
PF05424	Duffy_binding	Duffy binding domain	F
PF05425	CopD	Copper resistance protein D	F
PF05426	Alginate_lyase	Alginate lyase	D
PF05427	FIBP	Acidic fibroblast growth factor binding (FIBP)	F
PF09132	BmKX	BmKX	D
PF09133	SANTA	SANTA (SANT Associated)	D
PF09130	DUF1932	Domain of unknown function (DUF1932)	D
PF09131	Endotoxin_mid	Bacillus thuringiensis delta-Endotoxin, middle domain	D
PF09136	Glucodextran_B	Glucodextranase, domain B	D
PF09137	Glucodextran_N	Glucodextranase, domain N	D
PF09134	Invasin_D3	Invasin, domain 3	D
PF09135	Alb1	Alb1	F
PF01239	PPTA	Protein prenyltransferase alpha subunit repeat	R
PF06622	SepQ	SepQ protein	F
PF09139	Tam41_Mmp37	Phosphatidate cytidylyltransferase, mitochondrial	F
PF01238	PMI_typeI	Phosphomannose isomerase type I	F
PF00634	BRCA2	BRCA2 repeat	F
PF16417	CNOT1_TTP_bind	CCR4-NOT transcription complex subunit 1 TTP binding domain	D
PF07915	PRKCSH	Glucosidase II beta subunit-like protein	F
PF03717	PBP_dimer	Penicillin-binding Protein dimerisation domain	D
PF04888	SseC	Secretion system effector C (SseC) like family	F
PF07491	PPI_Ypi1	Protein phosphatase inhibitor	F
PF00981	Rota_NS53	Rotavirus RNA-binding Protein 53 (NS53)	F
PF09432	THP2	Tho complex subunit THP2	F
PF02102	Peptidase_M35	Deuterolysin metalloprotease (M35) family	F
PF00172	Zn_clus	Fungal Zn(2)-Cys(6) binuclear cluster domain	D
PF05229	SCPU	Spore Coat Protein U domain	D
PF02452	PemK_toxin	PemK-like, MazF-like toxin of type II toxin-antitoxin system	D
PF08085	Entericidin	Entericidin EcnA/B family	F
PF08084	PROCT	PROCT (NUC072) domain	D
PF08087	Toxin_18	Conotoxin O-superfamily	D
PF02453	Reticulon	Reticulon	F
PF12828	PXB	PX-associated	D
PF12829	Mhr1	Transcriptional regulation of mitochondrial recombination	F
PF08083	PROCN	PROCN (NUC071) domain	D
PF08082	PRO8NT	PRO8NT (NUC069), PrP8 N-terminal domain	D
PF12824	MRP-L20	Mitochondrial ribosomal protein subunit L20	D
PF12825	DUF3818	Domain of unknown function in PX-proteins (DUF3818)	D
PF12826	HHH_2	Helix-hairpin-helix motif	M
PF12827	Peroxin-22	Peroxisomal biogenesis protein family	F
PF12820	BRCT_assoc	Serine-rich domain associated with BRCT	D
PF12821	ThrE_2	Threonine/Serine exporter, ThrE	F
PF12822	ECF_trnsprt	ECF transporter, substrate-specific component	F
PF12823	DUF3817	Domain of unknown function (DUF3817)	D
PF02104	SURF1	SURF1 family	F
PF11328	DUF3130	Protein of unknown function (DUF3130	F
PF11329	DUF3131	Protein of unknown function (DUF3131)	F
PF11326	DUF3128	Protein of unknown function (DUF3128)	F
PF11327	Egh16-like	Egh16-like virulence factor	F
PF11324	DUF3126	Protein of unknown function (DUF3126)	F
PF11325	DUF3127	Domain of unknown function (DUF3127)	D
PF11322	DUF3124	Protein of unknown function (DUF3124)	F
PF11320	DUF3122	Protein of unknown function (DUF3122)	F
PF11321	DUF3123	Protein of unknown function (DUF3123)	F
PF01257	2Fe-2S_thioredx	Thioredoxin-like [2Fe-2S] ferredoxin	F
PF01256	Carb_kinase	Carbohydrate kinase	F
PF04551	GcpE	GcpE protein	F
PF01706	FliG_C	FliG C-terminal domain	D
PF01701	PSI_PsaJ	Photosystem I reaction centre subunit IX / PsaJ	F
PF04556	DpnII	DpnII restriction endonuclease	F
PF01251	Ribosomal_S7e	Ribosomal protein S7e	F
PF04554	Extensin_2	Extensin-like region	F
PF15689	NRIP1_repr_3	Nuclear receptor-interacting protein 1 repression 3	F
PF04559	Herpes_UL17	Herpesvirus UL17 protein	F
PF04558	tRNA_synt_1c_R1	Glutaminyl-tRNA synthetase, non-specific RNA binding region part 1	F
PF01709	Transcrip_reg	Transcriptional regulator	F
PF01708	Gemini_mov	Geminivirus putative movement protein	F
PF01259	SAICAR_synt	SAICAR synthetase	F
PF18828	LPD15	Large polyvalent-protein-associated domain 15	D
PF12796	Ank_2	Ankyrin repeats (3 copies)	R
PF12797	Fer4_2	4Fe-4S binding domain	D
PF12794	MscS_TM	Mechanosensitive ion channel inner membrane domain 1	D
PF12795	MscS_porin	Mechanosensitive ion channel porin domain	C
PF12792	CSS-motif	CSS motif domain associated with EAL	D
PF00071	Ras	Ras family	D
PF00072	Response_reg	Response regulator receiver domain	D
PF00073	Rhv	picornavirus capsid protein	D
PF00078	RVT_1	Reverse transcriptase (RNA-dependent DNA polymerase)	F
PF00079	Serpin	Serpin (serine protease inhibitor)	D
PF12798	Fer4_3	4Fe-4S binding domain	D
PF12799	LRR_4	Leucine Rich repeats (2 copies)	R
PF11223	DUF3020	Protein of unknown function (DUF3020)	F
PF08660	Alg14	Oligosaccharide biosynthesis protein Alg14 like	F
PF14301	DUF4376	Domain of unknown function (DUF4376)	F
PF11220	DUF3015	Protein of unknown function (DUF3015)	F
PF11227	DUF3025	Protein of unknown function (DUF3025)	F
PF11226	DUF3022	Protein of unknown function (DUF3022)	F
PF08667	BetR	BetR domain	D
PF14304	CSTF_C	Transcription termination and cleavage factor C-terminal	D
PF08669	GCV_T_C	Glycine cleavage T-protein C-terminal barrel domain	D
PF08668	HDOD	HDOD domain	D
PF14309	DUF4378	Domain of unknown function (DUF4378)	F
PF14308	DnaJ-X	X-domain of DnaJ-containing	D
PF18829	Importin_rep_6	Importin repeat 6	R
PF13845	Septum_form	Septum formation	F
PF13844	Glyco_transf_41	Glycosyl transferase family 41	F
PF13847	Methyltransf_31	Methyltransferase domain	D
PF13846	DUF4196	Domain of unknown function (DUF4196)	D
PF13841	Defensin_beta_2	Beta defensin	D
PF13840	ACT_7	ACT domain	D
PF13843	DDE_Tnp_1_7	Transposase IS4	D
PF13842	Tnp_zf-ribbon_2	DDE_Tnp_1-like zinc-ribbon	D
PF06955	XET_C	Xyloglucan endo-transglycosylase (XET) C-terminus	F
PF06954	Resistin	Resistin	F
PF06957	COPI_C	Coatomer (COPI) alpha subunit C-terminus	F
PF06956	RtcR	Regulator of RNA terminal phosphate cyclase	F
PF06951	PLA2G12	Group XII secretory phospholipase A2 precursor (PLA2G12)	D
PF06950	DUF1293	Protein of unknown function (DUF1293)	F
PF06953	ArsD	Arsenical resistance operon trans-acting repressor ArsD	D
PF06952	PsiA	PsiA protein	F
PF01543	HCV_capsid	Hepatitis C virus capsid protein	F
PF15683	TDRP	Testis development-related protein	F
PF04062	P21-Arc	ARP2/3 complex ARPC3 (21 kDa) subunit	F
PF15682	Mustang	Musculoskeletal, temporally activated-embryonic nuclear protein 1	F
PF04793	Herpes_BBRF1	BRRF1-like protein	F
PF07804	HipA_C	HipA-like C-terminal domain	D
PF04792	LcrV	V antigen (LcrV) protein	F
PF07398	MDMPI_C	MDMPI C-terminal domain	D
PF07399	Na_H_antiport_3	Putative Na+/H+ antiporter	F
PF03354	Terminase_1	Phage Terminase	F
PF07394	DUF1501	Protein of unknown function (DUF1501)	F
PF07395	Mig-14	Mig-14	F
PF07396	Porin_O_P	Phosphate-selective porin O and P	F
PF07397	DUF1502	Repeat of unknown function (DUF1502)	R
PF07390	P30	Mycoplasma P30 protein	F
PF07391	NPR	NPR nonapeptide repeat (2 copies)	R
PF07392	P19Arf_N	Cyclin-dependent kinase inhibitor 2a p19Arf N-terminus	F
PF01546	Peptidase_M20	Peptidase family M20/M25/M40	F
PF03981	Ubiq_cyt_C_chap	Ubiquinol-cytochrome C chaperone	F
PF14034	Spore_YtrH	Sporulation protein YtrH	F
PF13458	Peripla_BP_6	Periplasmic binding protein	F
PF04797	Herpes_ORF11	Herpesvirus dUTPase protein	F
PF03980	Nnf1	Nnf1	F
PF01544	CorA	CorA-like Mg2+ transporter protein	F
PF03983	SHD1	SLA1 homology domain 1, SHD1	D
PF12371	TMEM131_like	Transmembrane protein 131-like	F
PF03450	CO_deh_flav_C	CO dehydrogenase flavoprotein C-terminal domain	D
PF00550	PP-binding	Phosphopantetheine attachment site	D
PF08091	Toxin_21	Spider insecticidal peptide	D
PF03985	Paf1	Paf1	F
PF10378	RRM	Putative RRM domain	D
PF03456	uDENN	uDENN domain	D
PF17899	Peptidase_M61_N	Peptidase M61 N-terminal domain	D
PF03987	Autophagy_act_C	Autophagocytosis associated protein, active-site domain	D
PF03454	MoeA_C	MoeA C-terminal region (domain IV)	D
PF07806	Nod_GRP	Nodule-specific GRP repeat	R
PF00013	KH_1	KH domain	D
PF12382	Peptidase_A2E	Retrotransposon peptidase	F
PF15633	Tox-ART-HYD1	HYD1 signature containing ADP-ribosyltransferase	F
PF10372	YojJ	Bacterial membrane-spanning protein N-terminus	F
PF10373	EST1_DNA_bind	Est1 DNA/RNA binding domain	F
PF12373	Msg2_C	Major surface glycoprotein 2 C terminal	F
PF07499	RuvA_C	RuvA, C-terminal domain	D
PF17891	FluMu_N	Mu-like prophage FluMu N-terminal domain	D
PF17896	Nsp2a_N	Replicase polyprotein 1a N-terminal domain	D
PF17490	Tnp_22_dsRBD	L1 transposable element dsRBD-like domain	D
PF17897	VCPO_N	Vanadium chloroperoxidase N-terminal domain	D
PF16239	DUF4898	Domain of unknown function (DUF4898)	F
PF16238	DUF4897	Domain of unknown function (DUF4897)	F
PF16235	DUF4894	Domain of unknown function (DUF4894)	F
PF16234	DUF4892	Domain of unknown function (DUF4892)	F
PF16237	DUF4896	Domain of unknown function (DUF4896)	F
PF16236	DUF4895	Domain of unknown function (DUF4895)	F
PF16231	DUF4890	Domain of unknown function (DUF4890)	F
PF16230	DUF4889	Domain of unknown function (DUF4889)	F
PF16233	DUF4893	Domain of unknown function (DUF4893)	F
PF16232	DUF4891	Domain of unknown function (DUF4891)	F
PF11911	DUF3429	Protein of unknown function (DUF3429)	F
PF11910	NdhO	Cyanobacterial and plant NDH-1 subunit O	F
PF11913	DUF3431	Protein of unknown function (DUF3431)	F
PF11912	DUF3430	Protein of unknown function (DUF3430)	F
PF11915	DUF3433	Protein of unknown function (DUF3433)	F
PF11914	DUF3432	Domain of unknown function (DUF3432)	R
PF11917	DUF3435	Protein of unknown function (DUF3435)	F
PF11916	Vac14_Fig4_bd	Vacuolar protein 14 C-terminal Fig4p binding	D
PF11919	DUF3437	Domain of unknown function (DUF3437)	F
PF17013	Acetyltransf_15	Putative acetyl-transferase	F
PF17546	Defb50	Beta defensin 50	F
PF17011	DUF5093	Domain of unknown function (DUF5093)	F
PF17016	DUF5095	Domain of unknown function (DUF5095)	F
PF17541	TssC	Type VI secretion system, TssC, VipB	F
PF17014	Mad3_BUB1_I_2	Putative Mad3/BUB1 like region 1 protein	F
PF17015	DUF5094	Domain of unknown function (DUF5094)	F
PF06049	LSPR	Coagulation Factor V LSPD Repeat	R
PF06048	DUF927	Domain of unknown function (DUF927)	D
PF06043	Reo_P9	Reovirus P9-like family	F
PF06042	NTP_transf_6	Nucleotidyltransferase	D
PF06041	DUF924	Bacterial protein of unknown function (DUF924)	F
PF06040	Adeno_E3	Adenovirus E3 protein	F
PF06047	Nkap_C	NF-kappa-B-activating protein C-terminal domain	D
PF06046	Sec6	Exocyst complex component Sec6	F
PF06045	Rhamnogal_lyase	Rhamnogalacturonate lyase family	F
PF06044	DpnI	Dam-replacing family	F
PF08095	Toxin_25	Hefutoxin family	F
PF03672	UPF0154	Uncharacterised protein family (UPF0154)	F
PF03671	Ufm1	Ubiquitin fold modifier 1 protein	F
PF03670	UPF0184	Uncharacterised protein family (UPF0184)	F
PF00433	Pkinase_C	Protein kinase C terminal domain	F
PF03676	UPF0183	Uncharacterised protein family (UPF0183)	F
PF05582	Peptidase_U57	YabG peptidase U57	F
