	uniprot	length
1518	P31109	117
1519	P31111	875
1520	P31115	442
1521	P31116	359
1522	P31244	790
1523	P31334	269
1524	P31373	394
1525	P31374	1356
1526	P31376	625
1527	P31377	255
1528	P31378	399
1529	P31379	325
1530	P31380	1131
1531	P31381	517
1532	P31382	759
1533	P31383	635
1534	P31384	837
1535	P31385	405
1536	P31386	333
1537	P31412	392
1538	P31539	908
1539	P31688	896
1540	P31755	480
1541	P31787	87
1542	P32047	452
1543	P32048	576
1544	P32074	935
1545	P32178	256
1546	P32179	357
1547	P32190	709
1548	P32191	649
1549	P32259	974
1550	P32263	286
1551	P32264	428
1552	P32266	881
1553	P32288	370
1554	P32316	526
1555	P32317	509
1556	P32318	326
1557	P32319	1579
1558	P32323	725
1559	P32324	842
1560	P32325	704
1561	P32327	1180
1562	P32328	564
1563	P32329	569
1564	P32330	852
1565	P32331	307
1566	P32332	324
1567	P32333	1867
1568	P32334	1306
1569	P32335	436
1570	P32336	851
1571	P32337	1089
1572	P32338	300
1573	P32339	317
1574	P32340	513
1575	P32341	215
1576	P32342	167
1577	P32343	579
1578	P32344	111
1579	P32345	308
1580	P32347	362
1581	P32349	654
1582	P32350	737
1583	P32351	346
1584	P32352	222
1585	P32353	365
1586	P32354	571
1587	P32356	751
1588	P32357	355
1589	P32361	1115
1590	P32363	452
1591	P32364	656
1592	P32366	345
1593	P32367	649
1594	P32368	623
1595	P32375	460
1596	P32377	396
1597	P32378	372
1598	P32379	260
1599	P32380	944
1600	P32381	391
1601	P32383	869
1602	P32385	249
1603	P32386	1661
1604	P32387	263
1605	P32388	137
1606	P32389	672
1607	P32419	343
1608	P32432	683
1609	P32435	120
1610	P32445	135
1611	P32447	279
1612	P32448	525
1613	P32449	370
1614	P32450	94
1615	P32451	375
1616	P32452	334
1617	P32453	318
1618	P32454	952
1619	P32457	520
1620	P32458	415
1621	P32459	195
1622	P32460	244
1623	P32461	534
1624	P32462	438
1625	P32463	125
1626	P32464	399
1627	P32465	570
1628	P32466	567
1629	P32467	576
1630	P32468	407
1631	P32469	300
1632	P32471	206
1633	P32472	135
1634	P32473	366
1635	P32474	517
1636	P32475	115
1637	P32476	496
1638	P32477	678
1639	P32478	413
1640	P32479	840
1641	P32480	875
1642	P32481	527
1643	P32485	435
1644	P32486	720
1645	P32487	611
1646	P32488	338
1647	P32489	222
1648	P32490	508
1649	P32491	506
1650	P32492	1471
1651	P32493	518
1652	P32494	702
1653	P32495	156
1654	P32496	274
1655	P32497	812
1656	P32499	720
1657	P32500	655
1658	P32501	712
1659	P32502	381
1660	P32504	956
1661	P32505	525
1662	P32521	1480
1663	P32522	965
1664	P32523	503
1665	P32524	280
1666	P32525	599
1667	P32526	644
1668	P32527	433
1669	P32528	1835
1670	P32529	125
1671	P32558	1035
1672	P32559	526
1673	P32561	433
1674	P32562	705
1675	P32563	840
1676	P32564	187
1677	P32565	945
1678	P32566	505
1679	P32567	862
1680	P32568	1501
1681	P32569	687
1682	P32570	121
1683	P32571	926
1684	P32572	300
1685	P32573	292
1686	P32578	815
1687	P32579	426
1688	P32580	737
1689	P32581	645
1690	P32582	507
1691	P32583	406
1692	P32584	239
1693	P32585	307
1694	P32588	453
1695	P32589	693
1696	P32590	693
1697	P32591	825
1698	P32597	1359
1699	P32598	312
1700	P32599	642
1701	P32600	2474
1702	P32601	143
1703	P32602	292
1704	P32603	445
1705	P32604	452
1706	P32605	298
1707	P32606	800
1708	P32607	177
1709	P32608	588
1710	P32609	515
1711	P32610	256
1712	P32611	393
1713	P32612	120
1714	P32613	152
1715	P32614	470
1716	P32616	141
1717	P32617	166
1718	P32618	956
1719	P32621	518
1720	P32622	495
1721	P32623	467
1722	P32626	227
1723	P32628	398
1724	P32629	500
1725	P32630	166
1726	P32633	139
1727	P32634	1753
1728	P32639	2163
1729	P32641	659
1730	P32642	244
1731	P32643	299
1732	P32644	1121
1733	P32645	267
1734	P32656	232
1735	P32657	1468
1736	P32660	1571
1737	P32767	1081
1738	P32768	1537
1739	P32769	611
1740	P32770	719
1741	P32771	386
1742	P32772	223
1743	P32773	286
1744	P32774	122
1745	P32775	704
1746	P32776	642
1747	P32781	87
1748	P32783	436
1749	P32784	759
1750	P32785	401
1751	P32786	894
1752	P32787	269
1753	P32788	280
1754	P32789	676
1755	P32790	1244
1756	P32791	686
1757	P32792	385
1758	P32793	468
1759	P32794	780
1760	P32795	747
1761	P32796	670
1762	P32796-2	648
1763	P32797	924
1764	P32798	439
1765	P32799	129
1766	P32800	271
1767	P32800-2	225
1768	P32801	640
1769	P32802	667
1770	P32803	203
1771	P32804	376
1772	P32805	299
1773	P32806	458
1774	P32807	602
1775	P32828	619
1776	P32829	692
1777	P32830	109
1778	P32831	672
1779	P32832	435
1780	P32833	620
1781	P32835	219
1782	P32836	220
1783	P32837	571
1784	P32838	368
1785	P32839	456
1786	P32841	428
1787	P32842	164
1788	P32843	850
1789	P32844	805
1790	P32849	1169
1791	P32854	288
1792	P32855	1065
1793	P32857	523
1794	P32858	118
1795	P32859	130
1796	P32860	256
1797	P32861	499
1798	P32862	1170
1799	P32863	898
1800	P32864	603
1801	P32867	290
1802	P32873	1128
1803	P32874	2273
1804	P32875	414
1805	P32891	587
1806	P32892	752
1807	P32893	560
1808	P32895	427
1809	P32896	925
1810	P32897	222
1811	P32898	989
1812	P32899	183
1813	P32900	734
1814	P32901	601
1815	P32902	394
1816	P32903	40
1817	P32904	214
1818	P32905	252
1819	P32906	549
1820	P32907	282
1821	P32908	1225
1822	P32909	740
1823	P32910	317
1824	P32911	108
1825	P32912	316
1826	P32913	551
1827	P32914	102
1828	P32915	480
1829	P32916	621
1830	P32917	917
1831	P32939	208
1832	P32943	380
1833	P32944	819
1834	P32945	549
1835	P33122	291
1836	P33199	130
1837	P33200	976
1838	P33201	236
1839	P33202	1483
1840	P33203	583
1841	P33204	171
1842	P33296	250
1843	P33297	434
1844	P33298	428
1845	P33299	467
1846	P33300	382
1847	P33301	854
1848	P33302	1511
1849	P33303	322
1850	P33304	620
1851	P33306	851
1852	P33307	960
1853	P33308	149
1854	P33309	386
1855	P33310	695
1856	P33311	773
1857	P33312	244
1858	P33313	385
1859	P33314	1104
1860	P33315	681
1861	P33317	147
1862	P33322	483
1863	P33323	182
1864	P33324	310
1865	P33327	1092
1866	P33328	115
1867	P33329	710
1868	P33330	395
1869	P33331	125
1870	P33332	1336
1871	P33333	303
1872	P33334	2413
1873	P33335	543
1874	P33336	771
1875	P33338	968
1876	P33339	1025
1877	P33399	275
1878	P33400	625
1879	P33401	570
1880	P33411	251
1881	P33412	323
1882	P33413	735
1883	P33416	811
1884	P33417	597
1885	P33418	1100
1886	P33419	253
1887	P33420	868
1888	P33421	198
1889	P33441	392
1890	P33442	255
1891	P33448	61
1892	P33550	425
1893	P33734	552
1894	P33748	704
1895	P33749	630
1896	P33750	489
1897	P33751	242
1898	P33753	639
1899	P33754	206
1900	P33755	580
1901	P33757	523
1902	P33759	307
1903	P33760	1030
1904	P33767	430
1905	P33775	817
1906	P33890	251
1907	P33891	701
1908	P33892	2672
1909	P33893	541
1910	P33894	931
1911	P33895	451
1912	P34072	584
1913	P34077	839
1914	P34078	463
1915	P34087	171
1916	P34110	944
1917	P34111	1160
1918	P34160	861
1919	P34161	385
1920	P34162	210
1921	P34163	548
1922	P34164	415
1923	P34165	36
1924	P34166	38
1925	P34167	436
1926	P34215	104
1927	P34216	1381
1928	P34217	668
1929	P34218	831
1930	P34219	525
1931	P34220	418
1932	P34221	468
1933	P34222	208
1934	P34223	423
1935	P34224	193
1936	P34225	687
1937	P34226	696
1938	P34227	261
1939	P34228	1148
1940	P34230	853
1941	P34231	750
1942	P34232	184
1943	P34233	588
1944	P34234	306
1945	P34237	679
1946	P34238	112
1947	P34239	828
1948	P34240	503
1949	P34241	1764
1950	P34243	683
1951	P34244	1518
1952	P34245	136
1953	P34246	357
1954	P34247	250
1955	P34248	587
1956	P34249	101
1957	P34250	1132
1958	P34251	309
1959	P34252	453
1960	P34253	313
1961	P34730	273
1962	P34756	2278
1963	P34758	872
1964	P34760	196
1965	P34761	661
1966	P34909	587
1967	P35056	612
1968	P35127	236
1969	P35169	2470
1970	P35172	780
1971	P35176	225
1972	P35177	1332
1973	P35178	278
1974	P35179	80
1975	P35180	183
1976	P35181	156
1977	P35182	281
1978	P35183	429
1979	P35184	431
1980	P35187	1447
1981	P35189	244
1982	P35190	452
1983	P35191	511
1984	P35192	417
1985	P35193	415
1986	P35194	2493
1987	P35195	104
1988	P35196	286
1989	P35197	352
1990	P35198	433
1991	P35200	230
1992	P35201	549
1993	P35202	319
1994	P35203	478
1995	P35206	410
1996	P35207	1287
1997	P35208	640
1998	P35209	758
1999	P35210	1082
2000	P35497	357
2001	P35688	1017
2002	P35691	167
2003	P35718	212
2004	P35719	219
2005	P35723	206
2006	P35724	969
2007	P35725	167
2008	P35727	113
2009	P35728	441
2010	P35729	1037
2011	P35731	278
2012	P35732	738
2013	P35733	124
2014	P35734	292
2015	P35735	353
2016	P35736	922
2017	P35817	686
2018	P35842	467
2019	P35843	434
2020	P35844	434
2021	P35845	1188
2022	P35994	123
2023	P35995	705
2024	P35996	138
2025	P35997	82
2026	P35999	772
2027	P36000	726
2028	P36001	430
2029	P36002	662
2030	P36003	928
2031	P36004	724
2032	P36005	433
2033	P36006	1272
2034	P36007	326
2035	P36008	412
2036	P36009	735
2037	P36010	153
2038	P36012	229
2039	P36013	669
2040	P36014	167
2041	P36015	200
2042	P36016	881
2043	P36017	210
2044	P36018	234
2045	P36019	220
2046	P36022	4092
2047	P36023	863
2048	P36024	562
2049	P36025	268
2050	P36026	717
2051	P36027	376
2052	P36029	618
2053	P36030	115
2054	P36031	110
2055	P36032	473
2056	P36033	711
2057	P36034	407
2058	P36035	616
2059	P36036	203
2060	P36037	715
2061	P36038	271
2062	P36039	253
2063	P36040	267
2064	P36041	632
2065	P36042	193
2066	P36044	1178
2067	P36046	403
2068	P36047	338
2069	P36048	1008
2070	P36049	427
2071	P36050	127
2072	P36051	919
2073	P36052	402
2074	P36053	145
2075	P36054	211
2076	P36056	628
2077	P36057	244
2078	P36058	169
2079	P36059	337
2080	P36060	302
2081	P36061	205
2082	P36062	692
2083	P36064	111
2084	P36065	132
2085	P36066	463
2086	P36067	173
2087	P36068	246
2088	P36069	295
2089	P36070	627
2090	P36071	126
2091	P36072	103
2092	P36073	130
2093	P36074	111
2094	P36075	443
2095	P36076	571
2096	P36077	127
2097	P36078	116
2098	P36079	204
2099	P36080	434
2100	P36081	392
2101	P36082	127
2102	P36083	450
2103	P36084	527
2104	P36085	766
2105	P36086	256
2106	P36087	169
2107	P36088	180
2108	P36089	147
2109	P36090	516
2110	P36091	449
2111	P36092	106
2112	P36093	366
2113	P36094	363
2114	P36095	224
2115	P36096	758
2116	P36097	1038
2117	P36098	137
2118	P36099	201
2119	P36100	482
2120	P36101	447
2121	P36102	679
2122	P36103	277
2123	P36104	329
2124	P36105	138
2125	P36106	594
2126	P36107	401
2127	P36108	232
2128	P36109	125
2129	P36110	329
2130	P36111	568
2131	P36112	540
2132	P36113	551
2133	P36114	725
2134	P36115	615
2135	P36116	164
2136	P36117	915
2137	P36118	322
2138	P36119	530
2139	P36120	742
2140	P36121	282
2141	P36122	765
2142	P36123	1033
2143	P36124	751
2144	P36125	273
2145	P36126	1683
2146	P36127	104
2147	P36128	141
2148	P36129	213
2149	P36130	643
2150	P36131	295
2151	P36132	386
2152	P36133	167
2153	P36134	250
2154	P36135	365
2155	P36136	271
2156	P36137	443
2157	P36138	183
2158	P36139	283
2159	P36140	101
2160	P36141	133
2161	P36142	418
2162	P36143	616
2163	P36144	274
2164	P36145	328
2165	P36146	502
2166	P36147	197
2167	P36148	743
2168	P36149	193
2169	P36150	593
2170	P36151	352
2171	P36152	348
2172	P36153	106
2173	P36154	155
2174	P36155	307
2175	P36156	370
2176	P36157	363
2177	P36158	585
2178	P36159	838
2179	P36160	344
2180	P36161	1157
2181	P36162	133
2182	P36163	345
2183	P36164	337
2184	P36165	910
2185	P36166	706
2186	P36167	246
2187	P36168	1195
2188	P36169	355
2189	P36170	1169
2190	P36172	582
2191	P36173	615
2192	P36224	373
2193	P36421	394
2194	P36516	390
2195	P36517	319
2196	P36519	292
2197	P36520	322
2198	P36521	249
2199	P36523	253
2200	P36525	258
2201	P36526	146
2202	P36527	147
2203	P36528	281
2204	P36531	177
2205	P36532	105
2206	P36533	70
2207	P36534	297
2208	P36775	1133
2209	P36973	181
2210	P37012	569
2211	P37020	779
2212	P37254	787
2213	P37261	193
2214	P37262	315
2215	P37263	153
2216	P37264	122
2217	P37265	110
2218	P37267	147
2219	P37291	469
2220	P37292	490
2221	P37293	288
2222	P37296	890
2223	P37297	1900
2224	P37298	181
2225	P37299	77
2226	P37302	537
2227	P37303	387
2228	P37304	830
2229	P37366	393
2230	P37370	817
2231	P37838	685
2232	P37898	856
2233	P38009	592
2234	P38011	319
2235	P38013	176
2236	P38041	980
2237	P38042	758
2238	P38061	130
2239	P38063	326
2240	P38064	232
2241	P38065	1025
2242	P38066	345
2243	P38067	497
2244	P38068	203
2245	P38069	597
2246	P38070	525
2247	P38071	380
2248	P38072	301
2249	P38073	919
2250	P38074	348
2251	P38075	228
2252	P38077	311
2253	P38079	344
2254	P38080	1108
2255	P38081	501
2256	P38082	220
2257	P38083	404
2258	P38084	609
2259	P38085	619
2260	P38086	958
2261	P38087	329
2262	P38088	690
2263	P38088-2	667
2264	P38089	393
2265	P38090	596
2266	P38109	508
2267	P38110	2787
2268	P38111	2368
2269	P38112	773
2270	P38113	351
2271	P38114	1094
2272	P38115	344
2273	P38116	183
2274	P38120	278
2275	P38121	705
2276	P38122	312
2277	P38123	315
2278	P38124	548
2279	P38125	572
2280	P38126	564
2281	P38127	377
2282	P38128	452
2283	P38129	798
2284	P38130	404
2285	P38131	464
2286	P38132	845
2287	P38137	543
2288	P38138	954
2289	P38139	375
2290	P38140	529
2291	P38141	450
2292	P38142	488
2293	P38143	162
2294	P38144	1129
2295	P38145	238
2296	P38146	199
2297	P38147	527
2298	P38148	807
2299	P38149	878
2300	P38150	797
2301	P38151	413
2302	P38152	299
2303	P38153	483
2304	P38155	120
2305	P38156	614
2306	P38157	468
2307	P38158	584
2308	P38161	101
2309	P38162	196
2310	P38163	1010
2311	P38164	1038
2312	P38165	486
2313	P38166	215
2314	P38167	1117
2315	P38168	104
2316	P38169	460
2317	P38170	754
2318	P38171	102
2319	P38172	270
2320	P38173	110
2321	P38174	421
2322	P38175	177
2323	P38176	459
2324	P38177	466
2325	P38178	141
2326	P38179	458
2327	P38180	368
2328	P38181	1502
2329	P38182	117
2330	P38183	143
2331	P38184	103
2332	P38185	102
2333	P38186	106
2334	P38187	747
2335	P38188	114
2336	P38189	126
2337	P38190	124
2338	P38191	138
2339	P38192	103
2340	P38193	441
2341	P38194	122
2342	P38195	257
2343	P38196	639
2344	P38197	257
2345	P38198	1513
2346	P38199	381
2347	P38200	338
2348	P38201	376
2349	P38202	106
2350	P38203	95
2351	P38204	145
2352	P38205	684
2353	P38206	574
2354	P38207	520
2355	P38208	133
2356	P38209	133
2357	P38210	180
2358	P38211	433
2359	P38212	213
2360	P38213	736
2361	P38214	139
2362	P38215	129
2363	P38216	128
2364	P38217	918
2365	P38218	177
2366	P38219	394
2367	P38220	110
2368	P38221	457
2369	P38222	552
2370	P38223	100
2371	P38224	298
2372	P38225	669
2373	P38226	397
2374	P38227	689
2375	P38228	572
2376	P38229	639
2377	P38230	334
2378	P38231	175
2379	P38232	338
2380	P38233	116
2381	P38234	210
2382	P38235	358
2383	P38236	366
2384	P38237	781
2385	P38238	310
2386	P38239	180
2387	P38240	142
2388	P38241	364
2389	P38242	237
2390	P38243	211
2391	P38244	976
2392	P38246	354
2393	P38247	162
2394	P38248	429
2395	P38249	964
2396	P38250	946
2397	P38251	354
2398	P38252	199
2399	P38253	122
2400	P38254	753
2401	P38255	430
2402	P38256	230
2403	P38257	691
2404	P38258	127
2405	P38260	290
2406	P38261	753
2407	P38262	535
2408	P38263	362
2409	P38264	188
2410	P38265	245
2411	P38266	947
2412	P38267	160
2413	P38268	175
2414	P38269	119
2415	P38270	344
2416	P38271	328
2417	P38272	425
2418	P38273	704
2419	P38274	827
2420	P38275	133
2421	P38276	179
2422	P38277	524
2423	P38278	337
2424	P38279	296
2425	P38280	609
2426	P38281	316
2427	P38282	291
2428	P38283	698
2429	P38284	255
2430	P38285	549
2431	P38286	347
2432	P38287	376
2433	P38288	455
2434	P38289	585
2435	P38290	277
2436	P38291	140
2437	P38292	413
2438	P38293	148
2439	P38294	104
2440	P38295	451
2441	P38296	124
2442	P38297	855
2443	P38298	316
2444	P38299	523
2445	P38300	278
2446	P38301	280
2447	P38302	140
2448	P38303	103
2449	P38304	223
2450	P38305	123
2451	P38306	217
2452	P38307	211
2453	P38308	924
2454	P38309	107
2455	P38310	465
2456	P38311	105
2457	P38312	142
2458	P38313	324
2459	P38314	527
2460	P38315	674
2461	P38316	186
2462	P38317	127
2463	P38318	560
2464	P38319	544
2465	P38320	171
2466	P38321	900
2467	P38322	136
2468	P38323	520
2469	P38324	304
2470	P38325	134
2471	P38326	303
2472	P38327	119
2473	P38328	384
2474	P38329	1120
2475	P38330	731
2476	P38331	238
2477	P38332	387
2478	P38333	483
2479	P38334	175
2480	P38335	694
2481	P38336	279
2482	P38337	142
2483	P38338	688
2484	P38339	666
2485	P38340	232
2486	P38341	106
2487	P38342	320
2488	P38343	150
2489	P38344	393
2490	P38345	138
2491	P38346	545
2492	P38347	419
2493	P38348	480
2494	P38349	436
2495	P38350	133
2496	P38351	445
2497	P38352	637
2498	P38353	490
2499	P38354	144
2500	P38355	427
2501	P38356	321
2502	P38357	123
2503	P38358	474
2504	P38359	859
2505	P38360	1216
2506	P38361	574
2507	P38362	165
2508	P38374	65
2509	P38426	1054
2510	P38427	1098
2511	P38428	203
2512	P38429	201
2513	P38430	313
2514	P38431	405
2515	P38431-2	388
2516	P38439	464
2517	P38523	228
2518	P38555	223
2519	P38590	489
2520	P38604	731
2521	P38615	370
2522	P38616	354
2523	P38620	318
2524	P38622	512
2525	P38623	610
2526	P38624	215
2527	P38625	525
2528	P38626	284
2529	P38627	578
2530	P38628	557
2531	P38629	340
2532	P38630	861
2533	P38631	1876
2534	P38632	267
2535	P38633	127
2536	P38634	284
2537	P38635	335
2538	P38636	73
2539	P38637	319
2540	P38682	493
2541	P38687	599
2542	P38688	640
2543	P38689	320
2544	P38690	423
2545	P38691	1029
2546	P38692	1080
2547	P38693	467
2548	P38694	644
2549	P38695	592
2550	P38696	384
2551	P38697	523
2552	P38698	397
2553	P38699	743
2554	P38700	605
2555	P38701	121
2556	P38702	357
2557	P38703	411
2558	P38704	541
2559	P38705	446
2560	P38707	554
2561	P38708	688
2562	P38709	493
2563	P38710	295
2564	P38711	82
2565	P38712	501
2566	P38713	996
2567	P38714	643
2568	P38715	327
2569	P38716	378
2570	P38717	1229
2571	P38719	431
2572	P38720	489
2573	P38721	697
2574	P38722	271
2575	P38723	381
2576	P38724	620
2577	P38725	120
2578	P38726	115
2579	P38727	235
2580	P38728	170
2581	P38729	150
2582	P38730	149
2583	P38731	627
2584	P38732	585
2585	P38733	133
2586	P38734	546
2587	P38735	1592
2588	P38736	223
2589	P38737	1868
2590	P38738	679
2591	P38739	605
2592	P38740	315
2593	P38741	713
2594	P38742	1146
2595	P38744	120
2596	P38745	532
2597	P38746	405
2598	P38747	307
2599	P38748	585
2600	P38749	330
2601	P38750	627
2602	P38751	150
2603	P38752	130
2604	P38753	452
2605	P38754	138
2606	P38755	437
2607	P38756	429
2608	P38757	446
2609	P38758	523
2610	P38759	282
2611	P38760	659
2612	P38763	256
2613	P38764	993
2614	P38765	294
2615	P38766	723
2616	P38767	581
2617	P38768	344
2618	P38769	630
2619	P38770	471
2620	P38771	230
2621	P38772	366
2622	P38773	246
2623	P38774	246
2624	P38775	560
2625	P38776	514
2626	P38777	243
2627	P38778	549
2628	P38779	376
2629	P38780	354
2630	P38781	883
2631	P38782	295
2632	P38783	130
2633	P38784	181
2634	P38785	314
2635	P38786	293
2636	P38787	379
2637	P38788	538
2638	P38789	453
2639	P38790	280
2640	P38791	387
2641	P38792	359
2642	P38793	499
2643	P38794	229
2644	P38795	714
2645	P38796	400
2646	P38797	343
2647	P38798	1089
2648	P38799	552
2649	P38800	1345
2650	P38801	184
2651	P38803	334
2652	P38804	111
2653	P38805	295
2654	P38806	282
2655	P38808	164
2656	P38809	366
2657	P38810	929
2658	P38811	3744
2659	P38812	185
2660	P38813	335
2661	P38814	852
2662	P38815	214
2663	P38816	342
2664	P38817	585
2665	P38818	585
2666	P38819	212
2667	P38820	440
2668	P38821	490
2669	P38822	633
2670	P38823	416
2671	P38824	151
2672	P38825	639
2673	P38826	435
2674	P38827	1080
2675	P38828	187
2676	P38829	231
2677	P38830	627
2678	P38831	101
2679	P38832	159
2680	P38833	243
2681	P38834	111
2682	P38835	850
2683	P38836	430
2684	P38837	291
2685	P38838	269
2686	P38839	148
2687	P38840	513
2688	P38841	114
2689	P38842	239
2690	P38843	316
2691	P38844	325
2692	P38845	465
2693	P38848	579
2694	P38849	526
2695	P38850	1070
2696	P38851	1228
2697	P38852	340
2698	P38853	1164
2699	P38854	504
2700	P38855	283
2701	P38856	637
2702	P38857	129
2703	P38858	249
2704	P38859	1522
2705	P38860	518
2706	P38861	518
2707	P38862	630
2708	P38863	823
2709	P38864	112
2710	P38865	189
2711	P38866	432
2712	P38867	453
2713	P38868	163
2714	P38869	228
2715	P38870	785
2716	P38871	571
2717	P38872	237
2718	P38873	1557
2719	P38874	309
2720	P38875	610
2721	P38876	190
2722	P38877	133
2723	P38878	278
2724	P38879	174
2725	P38880	579
2726	P38881	321
2727	P38882	575
2728	P38883	763
2729	P38884	321
2730	P38885	310
2731	P38886	268
2732	P38887	602
2733	P38888	796
2734	P38889	622
2735	P38890	526
2736	P38891	393
2737	P38892	291
2738	P38893	341
2739	P38894	1075
2740	P38898	153
2741	P38899	603
2742	P38900	624
2743	P38902	120
2744	P38903	757
2745	P38904	1435
2746	P38907	458
2747	P38909	366
2748	P38910	106
2749	P38911	411
2750	P38912	153
2751	P38913	306
2752	P38915	602
2753	P38920	769
2754	P38921	284
2755	P38922	454
2756	P38925	575
2757	P38927	245
2758	P38928	823
2759	P38929	1173
2760	P38930	258
2761	P38931	1420
2762	P38932	577
2763	P38934	470
2764	P38953	406
2765	P38954	527
2766	P38956	169
2767	P38957	223
2768	P38958	111
2769	P38959	992
2770	P38960	494
2771	P38961	392
2772	P38962	199
2773	P38966	869
2774	P38967	592
2775	P38968	1273
2776	P38969	423
2777	P38970	855
2778	P38971	573
2779	P38972	1358
2780	P38985	146
2781	P38986	381
2782	P38987	245
2783	P38988	300
2784	P38989	1170
2785	P38990	1142
2786	P38991	367
2787	P38992	349
2788	P38993	636
2789	P38994	779
2790	P38995	1004
2791	P38996	802
2792	P38998	373
2793	P38999	446
2794	P39000	512
2795	P39001	836
2796	P39002	694
2797	P39003	570
2798	P39004	570
2799	P39005	276
2800	P39006	500
2801	P39007	718
2802	P39008	433
2803	P39009	513
2804	P39010	764
2805	P39011	633
2806	P39012	614
2807	P39013	349
2808	P39014	640
2809	P39015	273
2810	P39016	859
2811	P39073	555
2812	P39076	527
2813	P39077	534
2814	P39078	528
2815	P39079	546
2816	P39081	626
2817	P39083	1007
2818	P39101	391
2819	P39102	459
2820	P39103	70
2821	P39104	1066
2822	P39105	664
2823	P39106	762
2824	P39107	395
2825	P39108	375
2826	P39109	1515
2827	P39110	191
2828	P39111	118
2829	P39112	969
2830	P39113	1433
2831	P39515	158
2832	P39516	138
2833	P39517	506
2834	P39518	744
2835	P39520	1085
2836	P39521	936
2837	P39522	585
2838	P39523	943
2839	P39524	1355
2840	P39525	442
2841	P39526	2014
2842	P39529	758
2843	P39531	840
2844	P39532	115
2845	P39533	789
2846	P39534	108
2847	P39535	881
2848	P39538	1254
2849	P39540	310
2850	P39541	233
2851	P39542	402
2852	P39543	234
2853	P39545	55
2854	P39547	235
2855	P39548	234
2856	P39549	74
2857	P39550	113
2858	P39551	298
2859	P39552	234
2860	P39557	106
2861	P39559	98
2862	P39563	99
2863	P39564	161
2864	P39566	99
2865	P39567	403
2866	P39676	399
2867	P39677	819
2868	P39678	833
2869	P39682	629
2870	P39683	429
2871	P39684	611
2872	P39685	1337
2873	P39692	1035
2874	P39702	1274
2875	P39703	215
2876	P39704	215
2877	P39705	539
2878	P39706	426
2879	P39707	275
2880	P39708	457
2881	P39709	593
2882	P39710	102
2883	P39711	94
2884	P39712	1322
2885	P39713	417
2886	P39714	382
2887	P39715	212
2888	P39717	880
2889	P39718	180
2890	P39719	783
2891	P39720	1047
2892	P39721	246
2893	P39722	662
2894	P39723	622
2895	P39724	118
2896	P39725	102
2897	P39726	170
2898	P39727	415
2899	P39728	267
2900	P39729	369
2901	P39730	1002
2902	P39731	289
2903	P39732	760
2904	P39734	528
2905	P39735	261
2906	P39742	193
2907	P39743	482
2908	P39744	710
2909	P39875	702
2910	P39904	641
2911	P39923	615
2912	P39924	564
2913	P39925	761
2914	P39926	295
2915	P39927	425
2916	P39928	1220
2917	P39929	240
2918	P39931	234
2919	P39932	569
2920	P39933	429
2921	P39935	952
2922	P39936	914
2923	P39937	518
2924	P39938	119
2925	P39939	119
2926	P39940	809
2927	P39943	394
2928	P39944	805
2929	P39945	430
2930	P39946	494
2931	P39952	402
2932	P39953	335
2933	P39954	449
2934	P39955	897
2935	P39956	796
2936	P39958	451
2937	P39959	443
2938	P39960	2167
2939	P39961	794
2940	P39962	524
2941	P39965	576
2942	P39966	464
2943	P39967	754
2944	P39968	578
2945	P39969	1040
2946	P39970	489
2947	P39971	216
2948	P39972	122
2949	P39973	112
2950	P39974	107
2951	P39975	231
2952	P39976	496
2953	P39977	110
2954	P39978	195
2955	P39979	179
2956	P39980	628
2957	P39981	480
2958	P39982	102
2959	P39983	233
2960	P39984	401
2961	P39985	1022
2962	P39986	1215
2963	P39987	644
2964	P39988	312
2965	P39989	153
2966	P39990	126
2967	P39991	1188
2968	P39992	682
2969	P39993	1459
2970	P39994	560
2971	P39995	279
2972	P39996	337
2973	P39997	493
2974	P39998	551
2975	P39999	101
2976	P40000	116
2977	P40001	126
2978	P40002	666
2979	P40003	282
2980	P40004	342
2981	P40005	111
2982	P40006	225
2983	P40007	231
2984	P40008	231
2985	P40009	630
2986	P40010	520
2987	P40011	234
2988	P40012	539
2989	P40013	344
2990	P40014	221
2991	P40015	477
2992	P40016	523
2993	P40017	923
2994	P40018	196
2995	P40019	153
2996	P40020	876
2997	P40021	1076
2998	P40022	185
2999	P40023	145
3000	P40024	610
3001	P40025	321
3002	P40026	464
3003	P40028	759
3004	P40029	184
3005	P40030	148
3006	P40031	143
3007	P40032	644
3008	P40033	138
3009	P40034	492
3010	P40035	300
3011	P40036	548
3012	P40037	129
3013	P40038	420
3014	P40039	528
3015	P40040	218
3016	P40041	505
3017	P40042	185
3018	P40043	161
3019	P40045	126
3020	P40046	129
3021	P40047	520
3022	P40048	928
3023	P40049	302
3024	P40050	688
3025	P40051	511
3026	P40052	210
3027	P40053	627
3028	P40054	469
3029	P40055	554
3030	P40056	285
3031	P40057	128
3032	P40058	173
3033	P40059	670
3034	P40060	125
3035	P40061	1430
3036	P40062	109
3037	P40063	208
3038	P40064	1391
3039	P40065	302
3040	P40066	365
3041	P40068	799
3042	P40069	1113
3043	P40070	187
3044	P40071	706
3045	P40072	274
3046	P40073	367
3047	P40074	448
3048	P40075	244
3049	P40076	114
3050	P40077	573
3051	P40078	261
3052	P40079	357
3053	P40080	203
3054	P40081	178
3055	P40082	130
3056	P40083	148
